Rchain,child,parent,
"RA(Prof,Student)","RA(Prof,Student)",,
"RA(Prof,Student)","capability(Prof,Student)","RA(Prof,Student)",
"RA(Prof,Student)",intelligence(Student),"RA(Prof,Student)",
"RA(Prof,Student)",popularity(Prof),"RA(Prof,Student)",
"RA(Prof,Student)",popularity(Prof),teachingability(Prof),
"RA(Prof,Student)",ranking(Student),intelligence(Student),
"RA(Prof,Student)","salary(Prof,Student)","RA(Prof,Student)",
"RA(Prof,Student)","salary(Prof,Student)","capability(Prof,Student)",
"RA(Prof,Student)",teachingability(Prof),,
,,,
