GoalDiff,ManDiff,PeriodNumber,Number_Of_Sequences,"Home_Goal_CP - Away_Goal_CP","Home_Penalty_CP - Away_Penalty_CP"
0,0,1,69358,6.86434,-1.79748
0,0,2,33976,7.99386,-2.27404
0,0,3,26741,5.21692,-2.33226
1,0,2,26482,2.81354,2.15588
1,0,3,22826,5.40688,3.82596
-1,0,2,22566,7.95454,-7.85754
1,0,1,22066,4.72972,3.53140
-1,0,3,19964,1.21406,-18.71704
-1,0,1,18495,5.74712,-7.19132
2,0,3,15585,6.24518,-0.54268
2,0,2,13763,1.57262,3.67836
-2,0,3,12314,-0.83160,-13.09604
-2,0,2,10497,2.26700,-15.67120
0,1,1,10265,67.46032,34.30304
0,-1,1,9689,-58.86256,-49.31280
3,0,3,9557,2.17756,1.84502
-3,0,3,6715,7.31708,-6.60378
0,0,4,6252,4.37500,-10.54852
0,1,2,6150,58.78284,27.32984
3,0,2,5684,1.18204,6.94576
0,-1,2,5679,-55.65476,-38.35052
2,0,1,5347,4.92754,8.91514
1,-1,2,4836,-57.75578,-28.55246
1,1,2,4682,62.34888,30.43478
1,-1,3,4427,-18.84550,-22.01492
4,0,3,4362,5.38462,3.07328
-1,1,3,4320,29.35484,16.98842
-1,1,2,4296,60.00000,23.74100
-2,0,1,4270,-4.02930,-14.89972
-3,0,2,3929,2.18978,-7.95454
1,-1,1,3741,-58.20106,-45.84528
-1,-1,2,3649,-56.06408,-40.75286
1,1,1,3611,72.06982,36.34946
0,1,3,3501,66.66666,27.92362
2,-1,3,3342,-9.91380,-18.56288
-1,1,1,3301,66.31016,23.82812
0,-1,3,3197,-62.13334,-37.40832
1,1,3,2884,57.33334,22.22222
-2,1,3,2771,10.88082,8.06452
-1,-1,1,2738,-63.25088,-42.04946
2,-1,2,2676,-55.55556,-27.42980
-4,0,3,2499,13.14286,-2.64318
2,1,2,2491,61.78344,33.02108
2,1,3,2237,56.55430,31.21952
-2,1,2,2176,57.85440,21.99414
-1,-1,3,2159,-56.67870,-42.12218
4,0,2,1870,-5.03598,10.99196
3,-1,3,1815,-48.54368,-21.27140
3,1,3,1732,57.96178,10.23966
0,0,5,1685,5.37492,27.27272
-1,0,5,1670,34.05798,0.00000
5,0,3,1650,-6.54206,0.86456
-2,-1,2,1562,-56.70104,-32.85714
1,0,5,1562,-45.18202,-100.00000
-2,-1,3,1445,-52.27272,-31.11112
-3,1,3,1273,56.57894,22.70916
-4,0,2,1215,7.21650,-16.18258
3,-1,2,1211,-46.26866,-39.91416
3,1,2,1066,65.00000,25.11014
-5,0,3,1042,-5.08474,5.20834
-3,-1,3,1033,-48.45360,-16.86274
2,-1,1,1001,-65.11628,-31.21694
3,0,1,982,13.84616,-3.18472
2,1,1,887,68.08510,25.97402
-3,1,2,862,51.45632,20.98766
4,1,3,858,48.05194,-2.96296
1,0,4,849,0.00000,-75.00000
-2,1,1,848,63.63636,38.15790
4,-1,3,843,-66.29214,-31.42858
-3,0,1,749,11.76470,-3.70370
