FromNodeId,ToNodeId,ACTION,Occurrences,ActionValue
102,103,PENALTY,22,-0.14980849243650757
159,160,PENALTY,41,-0.13801565398888144
380,445,PENALTY,30,-0.06541342949578577
478,479,PENALTY,65,-0.08492381517854397
590,591,PENALTY,26,-0.09247518833067497
648,694,PENALTY,29,-0.14843498078602113
859,860,PENALTY,56,-0.11362132254377139
43,930,PENALTY,55,-0.12108086659401229
121,965,PENALTY,111,-0.12467856530670263
1000,1001,PENALTY,19,-0.12616744420758352
648,1021,PENALTY,19,-0.14150443174530397
647,1022,PENALTY,172,-0.11139270757781933
5,1162,PENALTY,19,-0.12665593859060942
12,1240,PENALTY,88,-0.10537872491379946
671,1282,PENALTY,25,-0.12124660675976728
138,1543,PENALTY,71,-0.11595577150051783
1840,1841,PENALTY,91,-0.10917795769281519
1803,1843,PENALTY,92,-0.11636139510395704
62,1991,PENALTY,88,-0.08641690682202469
104,2027,PENALTY,39,-0.06315735266436823
86,2061,PENALTY,93,-0.09609247669117726
121,2088,PENALTY,67,-0.1278505833190942
2,2713,PENALTY,111,-0.0890262284564407
1343,2840,PENALTY,110,-0.031111968734616746
2910,2911,PENALTY,20,-0.12004280873416201
2967,2968,PENALTY,15,-0.12028053207583883
18,3195,PENALTY,73,-0.12954383671246228
1343,3300,PENALTY,30,-0.015753483166953297
159,3997,PENALTY,39,-0.14480355467388345
2948,4390,PENALTY,49,-0.10556608714194038
1844,4426,PENALTY,15,-0.12389868634447199
281,4767,PENALTY,77,-0.10861662934655891
1803,5208,PENALTY,118,-0.11465105452637497
2197,5266,PENALTY,34,-0.040639982891657156
2,5584,PENALTY,80,-0.09010934835521994
338,5616,PENALTY,19,-0.08253194705438027
299,5870,PENALTY,32,-0.028052832461302912
656,5927,PENALTY,43,-0.09915315582262862
647,6393,PENALTY,57,-0.08352468487840131
2286,6428,PENALTY,25,-0.12053628461070864
311,6526,PENALTY,28,-0.16304484471953323
187,6906,PENALTY,40,-0.052240341664569645
656,7208,PENALTY,97,-0.1135899394492984
1396,7291,PENALTY,43,-0.11835693068873854
2,7319,PENALTY,263,-0.10339898984792995
773,7702,PENALTY,15,-0.15692436371228297
94,8063,PENALTY,35,-0.1327887813935693
1566,8087,PENALTY,23,-0.13383670950543075
15,8174,PENALTY,43,-0.12316124775256387
1326,8283,PENALTY,24,-0.13635496650225026
478,8332,PENALTY,56,-0.08706439399005117
8349,8353,PENALTY,23,-0.04917832582062909
647,8531,PENALTY,131,-0.10742171848921822
138,8722,PENALTY,22,-0.06941664404832915
63,8906,PENALTY,19,-0.12697376566780494
1804,9170,PENALTY,15,-0.14446957237531372
1326,10217,PENALTY,25,-0.1363549665022502
12,10671,PENALTY,186,-0.11990525525340029
751,10750,PENALTY,23,-0.009219919679680777
2231,10981,PENALTY,16,-0.08353575099983157
63,11021,PENALTY,29,-0.1226907208941666
2311,11557,PENALTY,31,-0.12736189504145456
2569,11747,PENALTY,36,-0.11920274956777277
187,12497,PENALTY,36,-0.039690236312598826
1804,12620,PENALTY,24,-0.13868150663261508
4268,12729,PENALTY,22,-0.052989725048504854
183,12984,PENALTY,50,-0.091655923947284
202,13366,PENALTY,18,-0.0801376316691883
86,13471,PENALTY,153,-0.11613692208644888
2948,13912,PENALTY,15,-0.07394619825948068
2605,14261,PENALTY,53,-0.08030288568144028
62,14308,PENALTY,88,-0.1079364060854427
161,14348,PENALTY,25,-0.12131026519418081
760,14470,PENALTY,19,-0.09632089601738897
711,14810,PENALTY,47,-0.11053062175035838
6491,14927,PENALTY,37,-0.09137730195042068
121,15013,PENALTY,76,-0.1220350614763161
1048,15302,PENALTY,74,-0.06388894175889043
1200,15781,PENALTY,77,-0.13116882144801773
939,15962,PENALTY,28,-0.1293877004243964
2625,16092,PENALTY,46,-0.05450655310274283
2605,16234,PENALTY,32,-0.07733263423104719
1665,16402,PENALTY,19,-0.04361065226280303
811,16429,PENALTY,16,-0.07222339357357033
5397,16538,PENALTY,17,-0.12679005183443998
303,16677,PENALTY,52,-0.11633613120357567
2,16679,PENALTY,221,-0.10189491903834214
1840,16699,PENALTY,45,-0.10731827014880346
4243,16751,PENALTY,26,-0.05673339964433849
15,17288,PENALTY,62,-0.12498902834498976
4478,17443,PENALTY,16,-0.036244707470071746
62,17465,PENALTY,26,-0.0681832767727753
104,17554,PENALTY,15,-0.017954755638550535
238,17629,PENALTY,23,-0.03517499020459991
380,17738,PENALTY,52,-0.06320916466506621
656,18609,PENALTY,74,-0.10151753107912148
678,18637,PENALTY,36,-0.13549450483296
647,18830,PENALTY,52,-0.08396696601617204
90,19124,PENALTY,24,-0.14692529693194806
98,19147,PENALTY,30,-0.12283090899378374
784,19697,PENALTY,20,-0.14211691920141245
187,19911,PENALTY,92,-0.047987100280804273
210,19918,PENALTY,40,-0.012229542966187945
1365,20375,PENALTY,20,-0.03529652717172577
299,20435,PENALTY,86,-0.03510470039892721
178,20587,PENALTY,34,-0.025800977199935515
1343,20597,PENALTY,35,-0.02266633100799187
1840,20868,PENALTY,27,-0.11342581397841023
811,20920,PENALTY,26,-0.09058297300305501
656,21022,PENALTY,104,-0.10140057856159823
43,21489,PENALTY,89,-0.12446881097841711
1006,21506,PENALTY,29,-0.1388076651766844
1252,22260,PENALTY,73,-0.1443635270182238
86,22354,PENALTY,34,-0.09840686479087518
760,22814,PENALTY,89,-0.10827449669479566
1048,22987,PENALTY,21,-0.07230184503276615
1343,24059,PENALTY,45,-0.031883461462710205
2897,24139,PENALTY,17,-0.1069810095073756
1396,24558,PENALTY,25,-0.11637994305010207
1197,24913,PENALTY,19,-0.12055148300543783
9206,24994,PENALTY,23,-0.07239725381571332
1006,25561,PENALTY,33,-0.12698644047777063
4243,25582,PENALTY,31,-0.05217272700990433
1373,25716,PENALTY,15,-0.05550683941511769
1873,25911,PENALTY,30,-0.11633877692851402
183,26272,PENALTY,21,-0.08181711813912484
138,26619,PENALTY,28,-0.07686365088965141
1396,26845,PENALTY,40,-0.10070120304072178
1000,26973,PENALTY,39,-0.13309799324830068
4872,28900,PENALTY,30,-0.10453344919929164
4951,28978,PENALTY,45,-0.05868637474898267
12,29698,PENALTY,145,-0.1250256968813721
1844,30565,PENALTY,19,-0.13315959153278978
1196,31369,PENALTY,42,-0.07879742432541115
1391,31784,PENALTY,24,-0.03667030306504576
1028,31856,PENALTY,22,-0.0008734131451332838
916,32163,PENALTY,39,-0.12318720808064287
761,32273,PENALTY,26,-0.13130731815547836
303,32339,PENALTY,41,-0.11855410407174422
958,33021,PENALTY,41,-0.13597320456559558
2948,34273,PENALTY,50,-0.09349551156684
1252,34805,PENALTY,26,-0.14612014672240803
187,35154,PENALTY,35,-0.0468848824052252
4383,35953,PENALTY,15,-0.0004320114412991183
671,36159,PENALTY,37,-0.1275324669537229
4882,36697,PENALTY,17,-0.08458102982082855
859,37079,PENALTY,36,-0.12129254250832838
178,38696,PENALTY,87,-0.02956044452086637
1840,38903,PENALTY,46,-0.11034809975206789
4243,38992,PENALTY,26,-0.09126595553062339
102,39403,PENALTY,25,-0.13869925554446844
939,39527,PENALTY,20,-0.1231772855026208
2247,39666,PENALTY,23,-0.12028002586161113
121,40747,PENALTY,34,-0.11400515799873889
12,41182,PENALTY,237,-0.12052788858801289
1803,41209,PENALTY,44,-0.08304529456367948
31,41506,PENALTY,77,-0.11970927778096557
338,41676,PENALTY,35,-0.08487169440996528
2625,41823,PENALTY,28,-0.07803460738334106
2625,41825,PENALTY,18,-0.06625847246756733
303,42318,PENALTY,43,-0.125211937702582
31,42542,PENALTY,28,-0.1184602527315618
18,42552,PENALTY,49,-0.12972664172795034
72,43346,PENALTY,25,-0.11330746087681925
25006,43856,PENALTY,22,-0.10584016544928082
4872,44140,PENALTY,20,-0.11493238213128082
72,44885,PENALTY,41,-0.11742238707006575
2273,45345,PENALTY,19,0.02669639781533817
15,45679,PENALTY,26,-0.124193536791606
159,46115,PENALTY,22,-0.09353873004863622
4268,46329,PENALTY,43,-0.03220864830117437
58,46586,PENALTY,21,-0.16079138601372478
159,47387,PENALTY,60,-0.124177716641793
958,47420,PENALTY,20,-0.13937242063050242
1196,47771,PENALTY,66,-0.08817946946235944
1197,48565,PENALTY,18,-0.12722068179258145
834,49018,PENALTY,19,-0.12428851490362153
299,49397,PENALTY,46,0.003657989930376415
1804,50219,PENALTY,18,-0.13675215138504881
1200,50546,PENALTY,49,-0.13190692230553774
43,50682,PENALTY,66,-0.12042879242780363
1196,51031,PENALTY,81,-0.11473945748032838
4882,51261,PENALTY,27,-0.08875787079963493
62,51351,PENALTY,46,-0.08760542851164571
335,51851,PENALTY,17,-0.17189674228164264
478,52693,PENALTY,31,-0.091528707446005
14242,53283,PENALTY,15,-0.127069825195456
292,53296,PENALTY,17,-0.06147364761488633
695,53930,PENALTY,24,-0.015386723612281883
75,54579,PENALTY,43,-0.04260143904408664
86,56346,PENALTY,46,-0.1151299701983679
760,56525,PENALTY,45,-0.12143165858336463
1200,57910,PENALTY,42,-0.1282613704950319
391,61736,PENALTY,18,-0.07905109414514355
1381,64005,PENALTY,19,-0.011020641640924589
2625,64517,PENALTY,17,-0.07983016749365002
1000,66176,PENALTY,27,-0.13309799324830074
2979,66370,PENALTY,23,-0.12223352888637579
811,66668,PENALTY,20,-0.06710136356372226
2979,67059,PENALTY,26,-0.10667751157043448
299,67182,PENALTY,24,-0.01914807871247276
43,68629,PENALTY,27,-0.11372739491341266
3657,68648,PENALTY,15,-0.08951392465712038
9206,69459,PENALTY,16,-0.041827062778635404
2247,70224,PENALTY,28,-0.11652997217749944
812,70546,PENALTY,18,-0.10436376478579446
657,70645,PENALTY,17,-0.15230755072900048
4265,71141,PENALTY,15,-0.12810072708039744
39,71512,PENALTY,20,-0.14992296192396692
545,73866,PENALTY,34,-0.14786965531169471
1196,75327,PENALTY,25,-0.06985338703292104
811,76514,PENALTY,81,-0.06779145206547876
1634,77487,PENALTY,28,-0.03919937331775647
183,79754,PENALTY,47,-0.09802303208057966
258,79782,PENALTY,38,-0.008048256387942043
8377,79924,PENALTY,15,-0.12259047645157178
2259,81244,PENALTY,17,-0.15631487736558286
6502,84117,PENALTY,17,-0.03538369144978487
678,86745,PENALTY,22,-0.13526032366363178
63,87040,PENALTY,22,-0.12159924809886596
31,87670,PENALTY,21,-0.11082732187409405
2273,88231,PENALTY,24,-0.03112683438731284
4383,89122,PENALTY,19,-0.017595521232510958
1803,90783,PENALTY,37,-0.08027780533657336
761,90803,PENALTY,16,-0.13668049822614503
4951,93459,PENALTY,61,-0.05321755484797033
1813,93703,PENALTY,20,-0.14041616304504495
6491,93742,PENALTY,17,-0.08428399847281284
1028,94409,PENALTY,19,-0.03177326496217897
859,94615,PENALTY,32,-0.11981755482814194
139,95850,PENALTY,27,-0.12268074870261392
2948,95971,PENALTY,22,-0.07104073648441528
380,99607,PENALTY,21,-0.05698635412056374
221,105026,PENALTY,18,-0.09005350780404725
183,105305,PENALTY,25,-0.0923957817455125
4243,107033,PENALTY,45,-0.0669826841592347
2605,110423,PENALTY,17,-0.03180941980724433
2569,112862,PENALTY,31,-0.12361124301647192
210,113449,PENALTY,18,-0.011617873427489045
178,113451,PENALTY,24,-0.02003781536868826
695,113825,PENALTY,16,-0.00043357015850054026
1217,115769,PENALTY,39,-0.12844391981871928
3765,116095,PENALTY,33,-0.030872202103858076
94,118389,PENALTY,16,-0.12333167669870337
1197,119427,PENALTY,20,-0.13467449220174194
1861,119730,PENALTY,20,-0.13116667979718843
4951,121236,PENALTY,30,-0.045850238807737115
1200,121366,PENALTY,16,-0.1346874095750374
2979,122922,PENALTY,22,-0.09255046496820474
90,123060,PENALTY,17,-0.13872718759893732
4268,125106,PENALTY,20,-0.04050905538532429
11858,125805,PENALTY,17,-0.013561384327921921
1048,126264,PENALTY,18,-0.07001872475545756
2268,132903,PENALTY,21,-0.11629439398659952
660,132980,PENALTY,16,-0.11711290064078711
563,136881,PENALTY,22,-0.1295424380845842
1641,140322,PENALTY,15,-0.04451931563911926
779,141695,PENALTY,20,-0.09407543234750104
104,142016,PENALTY,18,-0.028677386073952094
6491,143898,PENALTY,18,-0.1134615753562642
801,145882,PENALTY,24,-0.13437248140344504
1844,148017,PENALTY,17,-0.10171670454693255
760,151314,PENALTY,20,-0.09779187728613381
25006,152147,PENALTY,18,-0.09174009376801773
9206,152148,PENALTY,23,-0.041729651149742586
3657,152966,PENALTY,17,-0.10711234355473626
6491,153670,PENALTY,22,-0.07337552634439509
2605,163146,PENALTY,18,-0.056189762747691885
338,165745,PENALTY,25,-0.04874327786380972
138,173969,PENALTY,44,-0.11299756156378654
721,185812,PENALTY,23,-0.0484149489670998
18,189348,PENALTY,20,-0.12331497980767742
478,191782,PENALTY,28,-0.08620951210105748
210,191783,PENALTY,16,-0.0129600733259701
2979,198588,PENALTY,47,-0.11507620170055466
1049,200560,PENALTY,20,-0.12164386864535565
695,202807,PENALTY,30,-0.026436032951422883
816,220069,PENALTY,15,-0.11441929648715171
161,227801,PENALTY,16,-0.12131026519418081
4951,235396,PENALTY,24,-0.049977376451586814
6502,235401,PENALTY,23,-0.02615316324549316
1006,239729,PENALTY,16,-0.13444461531294638
188,252471,PENALTY,16,-0.08754883397681057
1573,254492,PENALTY,16,-0.11223885755078278
8349,308792,PENALTY,15,-0.04049227960670798
2910,341540,PENALTY,19,-0.12636085129911795
178,348049,PENALTY,20,-0.020346089451283467
6502,460810,PENALTY,17,-0.027212400319780783
86,120,PENALTY,52,-0.10692835402190198
418,419,PENALTY,25,-0.09573707492254707
187,477,PENALTY,98,-0.05674774869078958
760,858,PENALTY,60,-0.11337575080512363
121,966,PENALTY,46,-0.032327096210352846
2,1241,PENALTY,101,-0.08003286638720553
178,1648,PENALTY,55,-0.08981649302514383
63,1688,PENALTY,30,-0.12285160987661131
1803,1842,PENALTY,135,-0.09070761902609187
592,1983,PENALTY,15,-0.1487917176505283
98,2048,PENALTY,29,-0.15959081487095644
104,2062,PENALTY,85,-0.1354707864396406
86,2063,PENALTY,127,-0.1213180145977572
773,2136,PENALTY,29,-0.0979311183158349
258,2430,PENALTY,77,-0.03935752707042611
178,2431,PENALTY,73,-0.07082549646263381
15,2682,PENALTY,38,-0.11601024931514936
299,2714,PENALTY,250,-0.12466101184495731
695,2733,PENALTY,80,-0.1279573936296246
1381,2841,PENALTY,70,-0.04564626767317048
2311,3028,PENALTY,27,-0.12105932087148724
678,3231,PENALTY,31,-0.0995504901032731
647,3232,PENALTY,94,-0.08446621887169398
