Season,SeasonType,PlayerId,PlayerName,SumOfSumOfImpact,ImpactRank,Goals,GoalsRank,Assists,AssistsRank,Points,PointsRank,PlusMinus,PlusMinusRank,Shots,ShotsRank,Hits,HitsRank,BlockedShots,BlockedShotsRank,Giveaways,GiveawaysRank,Takeaways,TakeawaysRank,PowerPlayTimeOnIce,PPTOIRank,ShortHandedTimeOnIce,SHTOIRank,PenaltyMinutes,PIMRank,TimeOnIce,TOIRank
2014-2015,"Regular Season",8474563,"Drew Doughty",1.659117675,322,3,337,17,43,20,107,4,148,96,46,66,82,62,34,31,20,2,587,8375,5,6160,15,26,102,61259,1
2014-2015,"Regular Season",8474578,"Erik Karlsson",8.414929636,26,7,142,16,54,23,70,-15,759,127,4,40,234,32,155,47,2,27,14,9103,3,1335,348,10,401,54045,2
2014-2015,"Regular Season",8474673,"TJ Brodie",6.82654607,54,6,184,18,30,24,58,17,6,65,151,14,540,67,22,38,6,24,31,5565,104,4853,67,24,124,53933,3
2014-2015,"Regular Season",8470966,"Mark Giordano",6.853838405,52,10,56,24,8,34,13,15,10,86,65,35,292,79,10,23,58,14,173,6855,33,4858,66,25,116,53289,4
2014-2015,"Regular Season",8470600,"Ryan Suter",-3.031904414,828,1,475,21,18,22,78,3,186,62,176,35,294,48,74,17,142,12,234,8064,8,4496,82,16,222,53283,5
2014-2015,"Regular Season",8475171,"Oliver Ekman-Larsson",3.905991731,155,8,115,8,219,16,180,-14,758,105,27,63,91,35,126,16,165,15,152,9206,2,5793,23,16,219,52783,6
2014-2015,"Regular Season",8470281,"Duncan Keith",2.371491787,261,6,166,13,109,19,124,10,42,85,71,7,647,42,102,21,80,19,93,7764,14,5146,51,12,313,52705,7
2014-2015,"Regular Season",8474565,"Alex Pietrangelo",1.188290023,387,3,338,17,44,20,108,-12,745,98,42,40,235,81,9,17,136,8,356,5103,136,7048,3,6,484,52393,8
2014-2015,"Regular Season",8474600,"Roman Josi",7.010442173,49,4,273,14,95,18,135,12,29,79,92,12,566,87,5,18,115,11,263,6391,60,4902,64,4,550,52392,9
2014-2015,"Regular Season",8470642,"Shea Weber",6.456384643,60,6,171,16,55,22,80,14,17,88,60,74,62,68,21,29,29,9,316,6461,54,4747,73,26,104,52347,10
2014-2015,"Regular Season",8474056,"P.K. Subban",4.821605922,107,8,109,15,68,23,73,9,54,65,152,36,283,58,47,48,1,9,315,6659,49,3825,128,36,48,51368,11
2014-2015,"Regular Season",8472382,"Andy Greene",-0.708846248,747,0,628,9,211,9,308,-2,501,40,333,46,184,88,3,20,92,11,260,1599,346,9588,1,10,364,50774,12
2014-2015,"Regular Season",8467496,"Andrei Markov",0.832463847,440,5,202,14,93,19,122,8,66,60,190,29,359,60,41,28,30,14,171,6090,77,5402,37,14,262,50290,13
2014-2015,"Regular Season",8471735,"Keith Yandle",4.749160899,112,4,261,19,28,23,66,-7,668,105,26,11,583,49,71,32,18,11,256,10130,1,230,507,22,159,50159,14
2014-2015,"Regular Season",8468509,"Niklas Kronwall",2.35590686,264,5,204,13,112,18,137,-2,491,48,266,40,243,48,73,23,61,3,535,7151,24,5745,24,28,88,49875,15
2014-2015,"Regular Season",8469770,"Dennis Wideman",3.777172676,159,10,52,11,141,21,101,-8,690,73,114,45,195,77,12,37,7,20,73,6127,75,1836,304,18,202,49640,16
