Season,SeasonType,PlayerId,PlayerName,SumOfSumOfImpact,ImpactRank
2007-2008,Regular Season,8470041,Rick Nash,29.87783301,1
2007-2008,Regular Season,8467329,Vincent Lecavalier,27.30107069,2
2007-2008,Regular Season,8462042,Jarome Iginla,26.71824299,3
2007-2008,Regular Season,8468083,Henrik Zetterberg,26.53464504,4
2007-2008,Regular Season,8466148,Marian Hossa,26.10896379,5
2007-2008,Regular Season,8469455,Jason Spezza,24.59766721,6
2007-2008,Regular Season,8471214,Alex Ovechkin,24.40626589,7
2007-2008,Regular Season,8467514,Pavel Datsyuk,24.01245118,8
2007-2008,Regular Season,8471215,Evgeni Malkin,23.07771232,9
2007-2008,Regular Season,8460621,Daniel Alfredsson,22.83217815,10
2007-2008,Regular Season,8470617,Mike Richards,22.68043923,11
2007-2008,Regular Season,8470604,Jeff Carter,20.93462329,12
2007-2008,Regular Season,8471675,Sidney Crosby,20.87761184,13
2007-2008,Regular Season,8470595,Eric Staal,20.50260655,14
2007-2008,Regular Season,8462036,Daymond Langkow,20.03835043,15
2007-2008,Regular Season,8458529,Alex Kovalev,19.66933007,16
2007-2008,Regular Season,8467351,Scott Gomez,19.49332207,17
2007-2008,Regular Season,8469454,Ilya Kovalchuk,19.44786422,18
2007-2008,Regular Season,8469544,Patrick Sharp,18.74121027,19
2007-2008,Regular Season,8449645,Mike Modano,18.43714855,20
2007-2008,Regular Season,8460562,Chris Drury,18.35428392,21
2007-2008,Regular Season,8468483,Marian Gaborik,18.19229637,22
2007-2008,Regular Season,8468526,Jarret Stoll,18.09634809,23
2007-2008,Regular Season,8462118,Marc Savard,17.92274858,24
2007-2008,Regular Season,8471669,Paul Stastny,17.72581932,25
2007-2008,Regular Season,8471685,Anze Kopitar,17.61895508,26
2007-2008,Regular Season,8468085,Radim Vrbata,17.15276807,27
2007-2008,Regular Season,8467389,Brad Richards,17.07041617,28
2007-2008,Regular Season,8470794,Joe Pavelski,17.00547221,29
2007-2008,Regular Season,8470606,Dustin Brown,16.88295758,30
2007-2008,Regular Season,8468504,Brad Boyes,16.83296183,31
2007-2008,Regular Season,8466138,Joe Thornton,16.77841231,32
2007-2008,Regular Season,8471242,Mike Green,16.70946077,33
2007-2008,Regular Season,8469521,Tomas Plekanec,16.61142323,34
2007-2008,Regular Season,8462077,Jochen Hecht,16.26371122,35
2007-2008,Regular Season,8474141,Patrick Kane,16.19742174,36
2007-2008,Regular Season,8467483,Tyler Arnason,15.83985385,37
2007-2008,Regular Season,8462038,Shane Doan,15.83596275,38
2007-2008,Regular Season,8470610,Zach Parise,15.60064549,39
2007-2008,Regular Season,8464975,Daniel Briere,15.56918603,40
2007-2008,Regular Season,8459429,Jason Arnott,15.3073277,41
2007-2008,Regular Season,8470599,Milan Michalek,15.04707571,42
2007-2008,Regular Season,8470274,Chris Higgins,14.99682104,43
2007-2008,Regular Season,8470616,Ryan Kesler,14.88228042,44
2007-2008,Regular Season,8460465,Petr Sykora,14.74092348,45
2007-2008,Regular Season,8458525,Brian Rolston,14.62601307,46
2007-2008,Regular Season,8446788,Sergei Fedorov,14.56776385,47
2007-2008,Regular Season,8470151,Jay Bouwmeester,14.39621471,48
2007-2008,Regular Season,8460542,Patrik Elias,14.38852111,49
2007-2008,Regular Season,8466140,Olli Jokinen,14.35411954,50
2007-2008,Regular Season,8458537,Ray Whitney,14.13227729,51
2007-2008,Regular Season,8473533,Jordan Staal,14.06095841,52
2007-2008,Regular Season,8466371,John Madden,14.04504734,53
2007-2008,Regular Season,8467844,Jason Blake,14.03254347,54
2007-2008,Regular Season,8471233,Travis Zajac,14.03128291,55
2007-2008,Regular Season,8445735,Rod Brind'Amour,14.03091088,56
2007-2008,Regular Season,8473563,Nicklas Backstrom,13.90881504,57
2007-2008,Regular Season,8468700,Paul Gaustad,13.90254051,58
2007-2008,Regular Season,8451302,Brendan Shanahan,13.8858574,59
2007-2008,Regular Season,8470596,Nathan Horton,13.86859167,60
2007-2008,Regular Season,8464979,Marco Sturm,13.73711895,61
2007-2008,Regular Season,8471309,Johan Franzen,13.7253626,62
2007-2008,Regular Season,8465009,Zdeno Chara,13.69349011,63
2007-2008,Regular Season,8469457,Stephen Weiss,13.58914429,64
2007-2008,Regular Season,8467407,Brian Gionta,13.42830412,65
2007-2008,Regular Season,8459574,Darcy Tucker,13.15536516,66
2007-2008,Regular Season,8464989,Matt Cullen,13.15074463,67
2007-2008,Regular Season,8466160,Brenden Morrow,13.14162944,68
2007-2008,Regular Season,8467964,Mike Comrie,13.1124213,69
2007-2008,Regular Season,8448208,Jaromir Jagr,12.85002286,70
2007-2008,Regular Season,8458229,Keith Tkachuk,12.64769533,71
2007-2008,Regular Season,8469500,Mike Cammalleri,12.6425969,72
2007-2008,Regular Season,8467357,Jonathan Cheechoo,12.62248263,73
2007-2008,Regular Season,8467396,Erik Cole,12.62038829,74
2007-2008,Regular Season,8467423,Shawn Horcoff,12.61892589,75
2007-2008,Regular Season,8469459,Mikko Koivu,12.45464892,76
2007-2008,Regular Season,8467502,Ales Kotalik,12.41044864,77
2007-2008,Regular Season,8470803,Kyle Brodziak,12.11869665,78
2007-2008,Regular Season,8449895,Owen Nolan,12.05741241,79
2007-2008,Regular Season,8459534,Miroslav Satan,11.9510165,80
2007-2008,Regular Season,8462823,Glen Metropolit,11.92317068,81
2007-2008,Regular Season,8459428,Viktor Kozlov,11.81233085,82
2007-2008,Regular Season,8459648,Pavol Demitra,11.80058376,83
2007-2008,Regular Season,8466378,Martin St. Louis,11.6903164,84
2007-2008,Regular Season,8447958,Bobby Holik,11.57449457,85
2007-2008,Regular Season,8451774,Mats Sundin,11.54949652,86
2007-2008,Regular Season,8467875,Daniel Sedin,11.41875231,87
2007-2008,Regular Season,8470207,Joffrey Lupul,11.37693464,88
2007-2008,Regular Season,8469485,Derek Roy,11.3314758,89
2007-2008,Regular Season,8473604,Jonathan Toews,11.30290174,90
2007-2008,Regular Season,8459426,Paul Kariya,11.29928421,91
2007-2008,Regular Season,8467371,Mike Ribeiro,11.15550834,92
2007-2008,Regular Season,8464957,J-P Dumont,11.10652082,93
2007-2008,Regular Season,8458943,Cory Stillman,11.08015857,94
2007-2008,Regular Season,8460577,Milan Hejduk,10.96303005,95
2007-2008,Regular Season,8470543,Chris Kunitz,10.95556833,96
2007-2008,Regular Season,8468482,Dany Heatley,10.9208851,97
2007-2008,Regular Season,8456966,Robert Lang,10.89725061,98
2007-2008,Regular Season,8468695,Matthew Lombardi,10.50536209,99
2007-2008,Regular Season,8470597,Nikolay Zherdev,10.4159536,100
2007-2008,Regular Season,8470621,Corey Perry,10.34439928,101
2007-2008,Regular Season,8458590,Mike Knuble,10.23057149,102
2007-2008,Regular Season,8468542,Paul Martin,10.1740271,103
2007-2008,Regular Season,8451359,Mike Sillinger,10.14867936,104
2007-2008,Regular Season,8451101,Joe Sakic,10.09300991,105
2007-2008,Regular Season,8471208,Dustin Penner,10.08286702,106
2007-2008,Regular Season,8469469,R.J. Umberger,10.06759454,107
2007-2008,Regular Season,8467496,Andrei Markov,10.06756342,108
2007-2008,Regular Season,8467876,Henrik Sedin,10.04760185,109
2007-2008,Regular Season,8469467,Chuck Kobasew,10.00895394,110
2007-2008,Regular Season,8467330,David Legwand,9.96539563,111
2007-2008,Regular Season,8471266,David Booth,9.882023541,112
2007-2008,Regular Season,8466181,Kristian Huselius,9.867503095,113
2007-2008,Regular Season,8470257,Alexander Steen,9.805840987,114
2007-2008,Regular Season,8471691,Martin Hanzal,9.689004273,115
2007-2008,Regular Season,8460496,Ryan Smyth,9.636430092,116
2007-2008,Regular Season,8451224,Mathieu Schneider,9.536799485,117
2007-2008,Regular Season,8457063,Nicklas Lidstrom,9.511846743,118
2007-2008,Regular Season,8470613,Brent Burns,9.468582548,119
2007-2008,Regular Season,8471338,Torrey Mitchell,9.418205186,120
2007-2008,Regular Season,8470834,Dustin Byfuglien,9.405073338,121
2007-2008,Regular Season,8467943,Niklas Hagman,9.31532266,122
2007-2008,Regular Season,8470373,Jeff Hamilton,9.303019299,123
2007-2008,Regular Season,8471273,Brandon Dubinsky,9.289158077,124
2007-2008,Regular Season,8470649,Patrick O'Sullivan,9.164927137,125
2007-2008,Regular Season,8468789,Jason Williams,9.115685945,126
2007-2008,Regular Season,8469639,Brooks Laich,9.113197258,127
2007-2008,Regular Season,8466139,Patrick Marleau,9.100391535,128
2007-2008,Regular Season,8460105,Radek Bonk,9.071748006,129
2007-2008,Regular Season,8458573,Michael Nylander,9.070476373,130
2007-2008,Regular Season,8456464,Bill Guerin,9.064830968,131
2007-2008,Regular Season,8471220,Rostislav Olesz,9.015486766,132
2007-2008,Regular Season,8458536,Dean McAmmond,8.971062979,133
2007-2008,Regular Season,8473526,Peter Mueller,8.959035887,134
2007-2008,Regular Season,8460541,Richard Park,8.913350595,135
2007-2008,Regular Season,8458530,Markus Naslund,8.844908193,136
2007-2008,Regular Season,8459687,Scott Nichol,8.82663902,137
2007-2008,Regular Season,8467353,Nik Antropov,8.815130388,138
2007-2008,Regular Season,8459442,Saku Koivu,8.811129012,139
2007-2008,Regular Season,8468434,Andy McDonald,8.73543765,140
2007-2008,Regular Season,8458532,Glen Murray,8.701542915,141
2007-2008,Regular Season,8470612,Ryan Getzlaf,8.673894198,142
2007-2008,Regular Season,8459455,David Vyborny,8.654918778,143
2007-2008,Regular Season,8468508,Justin Williams,8.635735819,144
2007-2008,Regular Season,8459514,Jamal Mayers,8.62639192,145
2007-2008,Regular Season,8470603,Andrei Kostitsyn,8.504355309,146
2007-2008,Regular Season,8466251,Jason Chimera,8.501082136,147
2007-2008,Regular Season,8465192,Samuel Pahlsson,8.484589077,148
2007-2008,Regular Season,8459457,Jamie Langenbrunner,8.462755028,149
2007-2008,Regular Season,8470654,Maxim Lapierre,8.43758688,150
2007-2008,Regular Season,8460492,Ed Jovanovski,8.420883557,151
2007-2008,Regular Season,8471234,Wojtek Wolski,8.361979557,152
2007-2008,Regular Season,8466392,Todd White,8.353254186,153
2007-2008,Regular Season,8470162,Matt Stajan,8.3373135,154
2007-2008,Regular Season,8470159,Boyd Gordon,8.324705934,155
2007-2008,Regular Season,8466393,Pascal Dupuis,8.301937059,156
2007-2008,Regular Season,8467881,Taylor Pyatt,8.285516316,157
2007-2008,Regular Season,8471236,Andrej Meszaros,8.266833375,158
2007-2008,Regular Season,8464966,Derek Morris,8.227608635,159
2007-2008,Regular Season,8465200,Tomas Kaberle,8.21407769,160
2007-2008,Regular Season,8469770,Dennis Wideman,8.189264491,161
2007-2008,Regular Season,8469464,Fredrik Sjostrom,8.157115207,162
2007-2008,Regular Season,8469506,Jason Pominville,8.153591574,163
2007-2008,Regular Season,8468484,Rostislav Klesla,8.152480315,164
2007-2008,Regular Season,8459587,Todd Marchant,8.129919573,165
2007-2008,Regular Season,8462041,Radek Dvorak,8.029949261,166
2007-2008,Regular Season,8466304,Ladislav Nagy,8.016264577,167
2007-2008,Regular Season,8467334,Manny Malhotra,8.015289296,168
2007-2008,Regular Season,8465968,Brett McLean,7.953480582,169
2007-2008,Regular Season,8468604,Michel Ouellet,7.906337732,170
2007-2008,Regular Season,8447091,Martin Gelinas,7.782766562,171
2007-2008,Regular Season,8471476,Daniel Winnik,7.773583702,172
2007-2008,Regular Season,8465050,Eric Belanger,7.755707569,173
2007-2008,Regular Season,8467878,Tim Connolly,7.735022441,174
2007-2008,Regular Season,8469759,Vernon Fiddler,7.733648891,175
2007-2008,Regular Season,8467466,Trent Hunter,7.722107249,176
2007-2008,Regular Season,8470120,Alexander Semin,7.631118362,177
2007-2008,Regular Season,8446485,Kris Draper,7.62525186,178
2007-2008,Regular Season,8455919,Craig Conroy,7.57826702,179
2007-2008,Regular Season,8466149,Daniel Cleary,7.487987003,180
2007-2008,Regular Season,8467338,Alex Tanguay,7.478285125,181
2007-2008,Regular Season,8456887,Vyacheslav Kozlov,7.468727971,182
2007-2008,Regular Season,8471958,Dan Girardi,7.427572302,183
2007-2008,Regular Season,8460561,Sheldon Souray,7.426332879,184
2007-2008,Regular Season,8465058,Michal Rozsival,7.293425145,185
2007-2008,Regular Season,8468535,Antoine Vermette,7.289035465,186
2007-2008,Regular Season,8470169,Gregory Campbell,7.283217461,187
2007-2008,Regular Season,8471217,Andrew Ladd,7.264738009,188
2007-2008,Regular Season,8470105,Scottie Upshall,7.249235085,189
2007-2008,Regular Season,8468064,Martin Erat,7.236038904,190
2007-2008,Regular Season,8467370,Mike Fisher,7.214832241,191
2007-2008,Regular Season,8469466,Ales Hemsky,7.174253089,192
2007-2008,Regular Season,8469575,Christoph Schubert,7.122324806,193
2007-2008,Regular Season,8459425,Chris Gratton,7.064197248,194
2007-2008,Regular Season,8470299,Erik Christensen,6.998210649,195
2007-2008,Regular Season,8469492,Fedor Tyutin,6.885144631,196
2007-2008,Regular Season,8460743,Tomas Holmstrom,6.875394932,197
2007-2008,Regular Season,8460770,Kim Johnsson,6.867121066,198
2007-2008,Regular Season,8458951,Sergei Gonchar,6.855563474,199
2007-2008,Regular Season,8459492,Vinny Prospal,6.846071675,200
2007-2008,Regular Season,8470153,Pierre-Marc Bouchard,6.840532794,201
2007-2008,Regular Season,8465005,Colin White,6.835086091,202
2007-2008,Regular Season,8462081,Jan Hlavac,6.811482199,203
2007-2008,Regular Season,8469475,Jiri Novotny,6.802790448,204
2007-2008,Regular Season,8467463,Mikael Samuelsson,6.784887883,205
2007-2008,Regular Season,8458984,Mattias Norstrom,6.778839951,206
2007-2008,Regular Season,8471670,Guillaume Latendresse,6.763690879,207
2007-2008,Regular Season,8469508,Jay McClement,6.662247728,208
2007-2008,Regular Season,8468493,Ron Hainsey,6.615598616,209
2007-2008,Regular Season,8458069,Bryan Smolinski,6.600531475,210
2007-2008,Regular Season,8467831,Jeff Halpern,6.594267731,211
2007-2008,Regular Season,8466300,Ben Guite,6.543987253,212
2007-2008,Regular Season,8465041,Craig MacDonald,6.527611738,213
2007-2008,Regular Season,8459001,Kirk Maltby,6.494398502,214
2007-2008,Regular Season,8468432,Steve Reinprecht,6.450770727,215
2007-2008,Regular Season,8466215,Joe Corvo,6.416555167,216
2007-2008,Regular Season,8458494,Sergei Zubov,6.399264063,217
2007-2008,Regular Season,8448825,Trevor Linden,6.365757435,218
2007-2008,Regular Season,8467416,Josef Vasicek,6.337356533,219
2007-2008,Regular Season,8467899,Martin Havlat,6.317750117,220
2007-2008,Regular Season,8470741,Nigel Dawes,6.261134844,221
2007-2008,Regular Season,8458561,Yanic Perreault,6.254747368,222
2007-2008,Regular Season,8470047,Valtteri Filppula,6.222281875,223
2007-2008,Regular Season,8469619,Dennis Seidenberg,6.165901449,224
2007-2008,Regular Season,8470201,Jiri Hudler,6.108935288,225
2007-2008,Regular Season,8459424,Chris Pronger,6.021442022,226
2007-2008,Regular Season,8465951,Matt Cooke,5.957915229,227
2007-2008,Regular Season,8459024,Jere Lehtinen,5.83165856,228
2007-2008,Regular Season,8473979,Jaroslav Hlinka,5.795181924,229
2007-2008,Regular Season,8467967,Chris Kelly,5.792700339,230
2007-2008,Regular Season,8464967,Marty Reasoner,5.762928961,231
2007-2008,Regular Season,8469638,Jussi Jokinen,5.753170079,232
2007-2008,Regular Season,8455521,Stu Barnes,5.695641996,233
2007-2008,Regular Season,8471276,David Krejci,5.667909811,234
2007-2008,Regular Season,8458976,Michael Peca,5.65972924,235
2007-2008,Regular Season,8469474,Colby Armstrong,5.626297943,236
2007-2008,Regular Season,8465170,Fernando Pisani,5.624364444,237
2007-2008,Regular Season,8466035,Sergei Samsonov,5.600539157,238
2007-2008,Regular Season,8464960,Boyd Devereaux,5.597933998,239
2007-2008,Regular Season,8471682,Devin Setoguchi,5.597808303,240
2007-2008,Regular Season,8471245,Dave Bolland,5.594439535,241
2007-2008,Regular Season,8474040,Sam Gagner,5.5783733,242
2007-2008,Regular Season,8460527,Ryan Johnson,5.542412174,243
2007-2008,Regular Season,8469542,Stephane Veilleux,5.516290805,244
2007-2008,Regular Season,8471504,Rene Bourque,5.498927521,245
2007-2008,Regular Season,8468463,Mathieu Darche,5.489627994,246
2007-2008,Regular Season,8458938,Roman Hamrlik,5.469322861,247
2007-2008,Regular Season,8470281,Duncan Keith,5.445713054,248
2007-2008,Regular Season,8471753,T.J. Hensick,5.422410315,249
2007-2008,Regular Season,8468113,Jeff Finger,5.363583813,250
2007-2008,Regular Season,8469555,Christian Ehrhoff,5.362345903,251
2007-2008,Regular Season,8469581,Kyle Wellwood,5.3608443,252
2007-2008,Regular Season,8459640,Michael Grier,5.348964564,253
2007-2008,Regular Season,8459596,Andrew Brunette,5.346181232,254
2007-2008,Regular Season,8460503,Mattias Ohlund,5.317555728,255
2007-2008,Regular Season,8471699,Andrew Cogliano,5.275838777,256
2007-2008,Regular Season,8468575,Dominic Moore,5.265413521,257
2007-2008,Regular Season,8470137,Joni Pitkanen,5.256909388,258
2007-2008,Regular Season,8465026,Mark Parrish,5.204412401,259
2007-2008,Regular Season,8469670,Marek Svatos,5.161083917,260
2007-2008,Regular Season,8470626,Loui Eriksson,5.159354193,261
2007-2008,Regular Season,8471185,Curtis Glencross,5.144264099,262
2007-2008,Regular Season,8467516,Niko Kapanen,5.142478368,263
2007-2008,Regular Season,8462196,Stephane Robidas,5.119616703,264
2007-2008,Regular Season,8467361,Blair Betts,5.089741584,265
2007-2008,Regular Season,8468598,Lubomir Visnovsky,5.052350783,266
2007-2008,Regular Season,8473412,Bryan Little,5.032033514,267
2007-2008,Regular Season,8470655,David Backes,5.031229393,268
2007-2008,Regular Season,8459670,Kimmo Timonen,5.019465519,269
2007-2008,Regular Season,8459053,Adrian Aucoin,4.986792829,270
2007-2008,Regular Season,8457981,Teemu Selanne,4.980481052,271
2007-2008,Regular Season,8467331,Brad Stuart,4.95881833,272
2007-2008,Regular Season,8468309,Mark Streit,4.953514903,273
2007-2008,Regular Season,8470309,Ryan Whitney,4.95113627,274
2007-2008,Regular Season,8458517,Scott Niedermayer,4.916715413,275
2007-2008,Regular Season,8450824,Luke Richardson,4.912580382,276
2007-2008,Regular Season,8465250,Andrei Zyuzin,4.906550994,277
2007-2008,Regular Season,8460735,Richard Zednik,4.902351714,278
2007-2008,Regular Season,8456283,Adam Foote,4.876107177,279
2007-2008,Regular Season,8470289,Jim Slater,4.866951084,280
2007-2008,Regular Season,8458361,Doug Weight,4.861537795,281
2007-2008,Regular Season,8468520,Kurtis Foster,4.847284141,282
2007-2008,Regular Season,8445550,Rob Blake,4.837451736,283
2007-2008,Regular Season,8467956,Niclas Havelid,4.823955955,284
2007-2008,Regular Season,8467545,Michael Ryder,4.79350606,285
2007-2008,Regular Season,8468213,Jim Vandermeer,4.760136545,286
2007-2008,Regular Season,8470619,Brian Boyle,4.74554291,287
2007-2008,Regular Season,8458541,Steve Staios,4.706830354,288
2007-2008,Regular Season,8466398,Tom Kostopoulos,4.690704449,289
2007-2008,Regular Season,8470598,Thomas Vanek,4.689624414,290
2007-2008,Regular Season,8466110,Randy Robitaille,4.669869714,291
2007-2008,Regular Season,8459427,Rob Niedermayer,4.65877323,292
2007-2008,Regular Season,8460534,Curtis Brown,4.611295548,293
2007-2008,Regular Season,8468523,Matt Pettinger,4.588203709,294
2007-2008,Regular Season,8466399,Eric Perrin,4.578625445,295
2007-2008,Regular Season,8470039,Tomas Fleischmann,4.57787041,296
2007-2008,Regular Season,8462035,Chad Kilger,4.563803504,297
2007-2008,Regular Season,8470230,Daniel Paille,4.562023846,298
2007-2008,Regular Season,8470602,Dion Phaneuf,4.528267158,299
2007-2008,Regular Season,8467344,Robyn Regehr,4.518396955,300
2007-2008,Regular Season,8459479,Ville Peltonen,4.515435719,301
2007-2008,Regular Season,8468927,Steve Montador,4.492238275,302
2007-2008,Regular Season,8470575,Tom Preissing,4.490518863,303
2007-2008,Regular Season,8471676,Bobby Ryan,4.470286852,304
2007-2008,Regular Season,8467917,Jordan Leopold,4.457215492,305
2007-2008,Regular Season,8470639,Dan Fritsche,4.411442263,306
2007-2008,Regular Season,8471226,Drew Stafford,4.199167965,307
2007-2008,Regular Season,8470876,Nick Tarnasky,4.190760337,308
2007-2008,Regular Season,8470622,Patrick Eaves,4.153536461,309
2007-2008,Regular Season,8470054,Keith Ballard,4.146730453,310
2007-2008,Regular Season,8468101,Radek Martinek,4.145386704,311
2007-2008,Regular Season,8467439,Jaroslav Spacek,4.144126612,312
2007-2008,Regular Season,8473548,Phil Kessel,4.121213806,313
2007-2008,Regular Season,8464977,Dainius Zubrus,4.082440967,314
2007-2008,Regular Season,8470001,Jeff Giuliano,4.075765214,315
2007-2008,Regular Season,8471686,Marc Staal,4.074589526,316
2007-2008,Regular Season,8470358,Alexandre Burrows,4.042813049,317
2007-2008,Regular Season,8469685,Andrew Murray,4.035171009,318
2007-2008,Regular Season,8469483,David Steckel,3.996964477,319
2007-2008,Regular Season,8472355,Rod Pelley,3.985223674,320
2007-2008,Regular Season,8460540,Mathieu Dandenault,3.984323274,321
2007-2008,Regular Season,8467988,Ryan Malone,3.958156434,322
2007-2008,Regular Season,8467856,Brian Rafalski,3.919509546,323
2007-2008,Regular Season,8470667,Clarke MacArthur,3.912325438,324
2007-2008,Regular Season,8468639,John-Michael Liles,3.911782772,325
2007-2008,Regular Season,8471724,Kris Letang,3.857295252,326
2007-2008,Regular Season,8458554,Jozef Stumpel,3.846337413,327
2007-2008,Regular Season,8470852,Matt Moulson,3.812254878,328
2007-2008,Regular Season,8462093,Peter Schaefer,3.800452103,329
2007-2008,Regular Season,8458955,Martin Straka,3.795016617,330
2007-2008,Regular Season,8467346,Simon Gagne,3.753206502,331
2007-2008,Regular Season,8474102,David Perron,3.708314253,332
2007-2008,Regular Season,8466216,Adam Mair,3.672904353,333
2007-2008,Regular Season,8470905,Randy Jones,3.666838577,334
2007-2008,Regular Season,8458978,Sergei Brylin,3.625671663,335
2007-2008,Regular Season,8467354,Dmitri Kalinin,3.579798504,336
2007-2008,Regular Season,8467335,Mark Bell,3.56432537,337
2007-2008,Regular Season,8467949,Frantisek Kaberle,3.550697807,338
2007-2008,Regular Season,8462209,P.J. Axelsson,3.531626505,339
2007-2008,Regular Season,8462033,Wade Redden,3.514946315,340
2007-2008,Regular Season,8450725,Mark Recchi,3.498740211,341
2007-2008,Regular Season,8471310,Dustin Boyd,3.474615591,342
2007-2008,Regular Season,8468635,Travis Moen,3.468017087,343
2007-2008,Regular Season,8459064,Derek Armstrong,3.46433264,344
2007-2008,Regular Season,8459444,Todd Bertuzzi,3.439848374,345
2007-2008,Regular Season,8462129,Michal Handzus,3.429827829,346
2007-2008,Regular Season,8459547,Scott Walker,3.394654348,347
2007-2008,Regular Season,8470222,James Wisniewski,3.359751933,348
2007-2008,Regular Season,8471859,Sergei Kostitsyn,3.353382164,349
2007-2008,Regular Season,8471228,Alexander Radulov,3.342756149,350
2007-2008,Regular Season,8462197,Byron Ritchie,3.318367553,351
2007-2008,Regular Season,8465122,Brett Clark,3.30602134,352
2007-2008,Regular Season,8467880,Kris Beech,3.29864585,353
2007-2008,Regular Season,8473473,Milan Lucic,3.279372526,354
2007-2008,Regular Season,8468505,Steve Ott,3.244582931,355
2007-2008,Regular Season,8468162,Jerred Smithson,3.244290273,356
2007-2008,Regular Season,8471339,Ryan Callahan,3.22926213,357
2007-2008,Regular Season,8470580,Jed Ortmeyer,3.219403817,358
2007-2008,Regular Season,8468427,Brian Pothier,3.202578534,359
2007-2008,Regular Season,8468485,Raffi Torres,3.193431733,360
2007-2008,Regular Season,8458519,Aaron Ward,3.1779622,361
2007-2008,Regular Season,8468496,Marcel Hossa,3.167064982,362
2007-2008,Regular Season,8473482,Jiri Tlusty,3.165129547,363
2007-2008,Regular Season,8462032,Bryan Berard,3.155202502,364
2007-2008,Regular Season,8452371,Glen Wesley,3.120275495,365
2007-2008,Regular Season,8462176,Brent Sopel,3.113030517,366
2007-2008,Regular Season,8466147,Jason Ward,3.06142068,367
2007-2008,Regular Season,8468486,Scott Hartnell,3.0451619,368
2007-2008,Regular Season,8473449,Kyle Okposo,2.998256005,369
2007-2008,Regular Season,8469460,Mike Komisarek,2.990258713,370
2007-2008,Regular Season,8469480,Jeff Woywitka,2.963527461,371
2007-2008,Regular Season,8469622,Ryane Clowe,2.949752105,372
2007-2008,Regular Season,8468509,Niklas Kronwall,2.941470677,373
2007-2008,Regular Season,8471231,Kyle Chipchura,2.934874214,374
2007-2008,Regular Season,8468517,Andy Hilbert,2.903422629,375
