Season,SeasonType,PlayerId,PlayerName,SumOfSumOfImpact,SSIRank
2013-2014,Regular Season,8469455,Jason Spezza,29.63815695,1
2013-2014,Regular Season,8473604,Jonathan Toews,28.74810063,2
2013-2014,Regular Season,8470794,Joe Pavelski,27.20053278,3
2013-2014,Regular Season,8466148,Marian Hossa,26.12356453,4
2013-2014,Regular Season,8469544,Patrick Sharp,24.43119033,5
2013-2014,Regular Season,8471675,Sidney Crosby,24.2323913,6
2013-2014,Regular Season,8473512,Claude Giroux,23.88788979,7
2013-2014,Regular Season,8475794,Tyler Seguin,23.88597959,8
2013-2014,Regular Season,8474157,Max Pacioretty,22.54178007,9
2013-2014,Regular Season,8470638,Patrice Bergeron,22.25804502,10
2013-2014,Regular Season,8473994,Jamie Benn,22.07880221,11
2013-2014,Regular Season,8475158,Ryan O'Reilly,22.06118825,12
2013-2014,Regular Season,8475793,Ryan Johansen,21.96150641,13
2013-2014,Regular Season,8470047,Valtteri Filppula,21.70370668,14
2013-2014,Regular Season,8466139,Patrick Marleau,20.92245168,15
2013-2014,Regular Season,8475168,Matt Duchene,20.66523323,16
2013-2014,Regular Season,8475166,John Tavares,20.44597237,17
2013-2014,Regular Season,8470610,Zach Parise,19.93336834,18
2013-2014,Regular Season,8470655,David Backes,19.25176468,19
2013-2014,Regular Season,8474613,Derek Stepan,19.11215767,20
2013-2014,Regular Season,8473412,Bryan Little,18.5817587,21
2013-2014,Regular Season,8467389,Brad Richards,18.45032265,22
2013-2014,Regular Season,8471685,Anze Kopitar,18.44778823,23
2013-2014,Regular Season,8474053,Logan Couture,18.36729689,24
2013-2014,Regular Season,8473563,Nicklas Backstrom,17.35966199,25
2013-2014,Regular Season,8473449,Kyle Okposo,17.35360978,26
2013-2014,Regular Season,8470604,Jeff Carter,17.35036985,27
2013-2014,Regular Season,8471669,Paul Stastny,17.21057131,28
2013-2014,Regular Season,8474009,Nick Bonino,16.80841164,29
2013-2014,Regular Season,8470257,Alexander Steen,16.72595277,30
2013-2014,Regular Season,8468535,Antoine Vermette,16.66355739,31
2013-2014,Regular Season,8471276,David Krejci,16.51224929,32
2013-2014,Regular Season,8469506,Jason Pominville,16.50245576,33
2013-2014,Regular Season,8473419,Brad Marchand,16.4308026,34
2013-2014,Regular Season,8475768,Jaden Schwartz,16.38517958,35
2013-2014,Regular Season,8475098,Tyler Bozak,16.21840729,36
2013-2014,Regular Season,8470144,Frans Nielsen,16.15081349,37
2013-2014,Regular Season,8471698,T.J. Oshie,15.81848329,38
2013-2014,Regular Season,8469459,Mikko Koivu,15.79395819,39
2013-2014,Regular Season,8474641,Adam Henrique,15.54965175,40
2013-2014,Regular Season,8474037,James van Riemsdyk,15.442279,41
2013-2014,Regular Season,8471707,James Neal,15.25596776,42
2013-2014,Regular Season,8474589,Tyler Ennis,15.21793418,43
2013-2014,Regular Season,8470595,Eric Staal,15.20466447,44
2013-2014,Regular Season,8470612,Ryan Getzlaf,15.16331846,45
2013-2014,Regular Season,8471691,Martin Hanzal,15.15183548,46
2013-2014,Regular Season,8474578,Erik Karlsson,15.14847375,47
2013-2014,Regular Season,8470041,Rick Nash,15.12892714,48
2013-2014,Regular Season,8469500,Mike Cammalleri,14.9418074,49
2013-2014,Regular Season,8475765,Vladimir Tarasenko,14.84822767,50
2013-2014,Regular Season,8470621,Corey Perry,14.80419867,51
2013-2014,Regular Season,8470740,Lee Stempniak,14.73567024,52
2013-2014,Regular Season,8477497,Sean Monahan,14.56841004,53
2013-2014,Regular Season,8474870,Tyler Johnson,14.56209282,54
2013-2014,Regular Season,8474571,Mikkel Boedker,14.54519857,55
2013-2014,Regular Season,8470616,Ryan Kesler,14.48300222,56
2013-2014,Regular Season,8474091,Brandon Sutter,14.31816398,57
2013-2014,Regular Season,8473573,Artem Anisimov,14.26493514,58
2013-2014,Regular Season,8468085,Radim Vrbata,14.26017205,59
2013-2014,Regular Season,8471215,Evgeni Malkin,14.14006674,60
2013-2014,Regular Season,8471273,Brandon Dubinsky,14.10792594,61
