FromNodeId,ToNodeId,ACTION,Occurrences,ActionValue
14242,204257,PENALTY,17,0.047382802
4062,48362,PENALTY,21,0.044454802
2273,45345,PENALTY,19,0.026696398
656,35634,PENALTY,22,0.003837446
299,49397,PENALTY,46,0.00365799
2569,64463,PENALTY,18,0.000607789
4243,55515,PENALTY,18,0.000331471
4383,35953,PENALTY,15,-0.000432011
695,113825,PENALTY,16,-0.00043357
1028,31856,PENALTY,22,-0.000873413
6491,360128,PENALTY,17,-0.003450407
12,94816,PENALTY,48,-0.00382821
1840,24170,PENALTY,17,-0.004252055
8377,24822,PENALTY,18,-0.005846956
2625,16233,PENALTY,48,-0.005994788
4243,17447,PENALTY,21,-0.006379226
4268,326722,PENALTY,23,-0.007201043
656,91493,PENALTY,20,-0.00743672
258,79782,PENALTY,38,-0.008048256
751,10750,PENALTY,23,-0.00921992
4265,31133,PENALTY,26,-0.009233978
183,105304,PENALTY,15,-0.009721111
4243,57058,PENALTY,21,-0.010646248
1381,64005,PENALTY,19,-0.011020642
43,58399,PENALTY,24,-0.011136316
210,113449,PENALTY,18,-0.011617873
210,19918,PENALTY,40,-0.012229543
210,191783,PENALTY,16,-0.012960073
11858,125805,PENALTY,17,-0.013561384
478,52692,PENALTY,20,-0.014093612
695,53930,PENALTY,24,-0.015386724
1343,3300,PENALTY,30,-0.015753483
4383,89122,PENALTY,19,-0.017595521
104,17554,PENALTY,15,-0.017954756
121,319643,PENALTY,22,-0.018338186
299,67182,PENALTY,24,-0.019148079
178,113451,PENALTY,24,-0.020037815
178,348049,PENALTY,20,-0.020346089
121,12474,PENALTY,15,-0.020989681
12,149367,PENALTY,39,-0.021445137
12,113353,PENALTY,26,-0.021542633
1343,20597,PENALTY,35,-0.022666331
183,105186,PENALTY,22,-0.022669509
1200,41000,PENALTY,26,-0.022923953
4243,14940,PENALTY,75,-0.024292639
656,126984,PENALTY,22,-0.024835616
178,20587,PENALTY,34,-0.025800977
6502,235401,PENALTY,23,-0.026153163
695,202807,PENALTY,30,-0.026436033
2979,48599,PENALTY,21,-0.027150228
6502,460810,PENALTY,17,-0.0272124
859,18476,PENALTY,25,-0.027604653
1396,45615,PENALTY,30,-0.027875878
299,5870,PENALTY,32,-0.028052832
2605,110424,PENALTY,36,-0.028459507
104,142016,PENALTY,18,-0.028677386
178,38696,PENALTY,87,-0.029560445
3765,116095,PENALTY,33,-0.030872202
1343,2840,PENALTY,110,-0.031111969
2273,88231,PENALTY,24,-0.031126834
2625,64518,PENALTY,21,-0.031261526
1028,94409,PENALTY,19,-0.031773265
2605,110423,PENALTY,17,-0.03180942
1343,24059,PENALTY,45,-0.031883461
1048,85163,PENALTY,32,-0.031961153
656,24498,PENALTY,42,-0.03219939
4268,46329,PENALTY,43,-0.032208648
121,966,PENALTY,46,-0.032327096
159,43573,PENALTY,24,-0.034031473
2625,41826,PENALTY,15,-0.034704622
478,16215,PENALTY,37,-0.034928696
299,20435,PENALTY,86,-0.0351047
238,17629,PENALTY,23,-0.03517499
1365,20375,PENALTY,20,-0.035296527
6502,84117,PENALTY,17,-0.035383691
4478,17443,PENALTY,16,-0.036244707
1391,31784,PENALTY,24,-0.036670303
649,73082,PENALTY,25,-0.039078902
1634,77487,PENALTY,28,-0.039199373
478,19893,PENALTY,40,-0.039355849
258,2430,PENALTY,77,-0.039357527
187,12497,PENALTY,36,-0.039690236
4501,23869,PENALTY,29,-0.040000615
3352,149956,PENALTY,16,-0.040110898
258,74112,PENALTY,26,-0.04016145
8349,308792,PENALTY,15,-0.04049228
4268,125106,PENALTY,20,-0.040509055
2197,5266,PENALTY,34,-0.040639983
258,213133,PENALTY,20,-0.041112018
9206,152148,PENALTY,23,-0.041729651
4951,101943,PENALTY,27,-0.041773694
43,31221,PENALTY,42,-0.041787655
9206,69459,PENALTY,16,-0.041827063
4467,25589,PENALTY,17,-0.042063503
1381,48832,PENALTY,16,-0.04221082
75,54579,PENALTY,43,-0.042601439
12,8227,PENALTY,67,-0.043520211
1665,16402,PENALTY,19,-0.043610652
258,20588,PENALTY,36,-0.04362486
1641,140322,PENALTY,15,-0.044519316
811,82481,PENALTY,24,-0.044717954
1381,3524,PENALTY,48,-0.045453362
1381,2841,PENALTY,70,-0.045646268
4951,121236,PENALTY,30,-0.045850239
811,125094,PENALTY,20,-0.046506672
187,35154,PENALTY,35,-0.046884882
263,71623,PENALTY,15,-0.047758174
187,19911,PENALTY,92,-0.0479871
1381,15090,PENALTY,40,-0.04817019
721,185812,PENALTY,23,-0.048414949
338,165745,PENALTY,25,-0.048743278
8349,8353,PENALTY,23,-0.049178326
2707,27070,PENALTY,41,-0.049659395
4951,235396,PENALTY,24,-0.049977376
380,65619,PENALTY,15,-0.050770398
811,31153,PENALTY,85,-0.051670733
2605,16096,PENALTY,43,-0.051811257
4243,25582,PENALTY,31,-0.052172727
187,6906,PENALTY,40,-0.052240342
4268,12729,PENALTY,22,-0.052989725
4951,93459,PENALTY,61,-0.053217555
811,88650,PENALTY,22,-0.053283428
478,90705,PENALTY,37,-0.053327179
4882,51262,PENALTY,16,-0.053342761
178,20566,PENALTY,43,-0.053422976
2625,16092,PENALTY,46,-0.054506553
1373,25716,PENALTY,15,-0.055506839
2605,163146,PENALTY,18,-0.056189763
183,67373,PENALTY,16,-0.056596224
4243,16751,PENALTY,26,-0.0567334
187,477,PENALTY,98,-0.056747749
380,99607,PENALTY,21,-0.056986354
4951,28978,PENALTY,45,-0.058686375
1840,14099,PENALTY,41,-0.059187394
1861,14491,PENALTY,27,-0.05960631
178,15520,PENALTY,47,-0.060117632
4951,153648,PENALTY,19,-0.060438607
187,22428,PENALTY,41,-0.060510356
183,40207,PENALTY,24,-0.060756943
2605,16093,PENALTY,55,-0.06127389
292,53296,PENALTY,17,-0.061473648
4951,110095,PENALTY,15,-0.062504764
891,7122,PENALTY,15,-0.062899882
104,2027,PENALTY,39,-0.063157353
380,17738,PENALTY,52,-0.063209165
1048,15302,PENALTY,74,-0.063888942
2605,41824,PENALTY,22,-0.064875254
4951,113558,PENALTY,74,-0.065306712
380,445,PENALTY,30,-0.065413429
6502,84116,PENALTY,15,-0.065837053
2625,41825,PENALTY,18,-0.066258472
1343,90822,PENALTY,55,-0.066264946
1396,92669,PENALTY,19,-0.066457156
187,35153,PENALTY,58,-0.066805152
4243,107033,PENALTY,45,-0.066982684
1343,22612,PENALTY,36,-0.067067846
811,66668,PENALTY,20,-0.067101364
811,76514,PENALTY,81,-0.067791452
1343,24557,PENALTY,32,-0.06812408
62,17465,PENALTY,26,-0.068183277
2948,86794,PENALTY,24,-0.069391498
138,8722,PENALTY,22,-0.069416644
187,35182,PENALTY,48,-0.069646711
6502,69593,PENALTY,28,-0.069777744
1196,75327,PENALTY,25,-0.069853387
1048,126264,PENALTY,18,-0.070018725
2948,76719,PENALTY,31,-0.070340383
138,111336,PENALTY,28,-0.07042482
178,2431,PENALTY,73,-0.070825496
2948,95971,PENALTY,22,-0.071040736
1196,32347,PENALTY,30,-0.071694887
811,16429,PENALTY,16,-0.072223394
1048,22987,PENALTY,21,-0.072301845
9206,24994,PENALTY,23,-0.072397254
6491,153670,PENALTY,22,-0.073375526
831,22986,PENALTY,39,-0.073511963
1873,63205,PENALTY,33,-0.073767516
2948,13912,PENALTY,15,-0.073946198
9216,152155,PENALTY,16,-0.074249446
760,77620,PENALTY,23,-0.07458856
338,308674,PENALTY,22,-0.07472678
86,40748,PENALTY,48,-0.075995323
2948,146792,PENALTY,23,-0.076027259
138,26619,PENALTY,28,-0.076863651
2605,16234,PENALTY,32,-0.077332634
1196,31370,PENALTY,38,-0.077949603
2625,41823,PENALTY,28,-0.078034607
1196,31369,PENALTY,42,-0.078797424
338,5647,PENALTY,17,-0.078982875
2,29708,PENALTY,129,-0.079013757
391,61736,PENALTY,18,-0.079051094
311,17482,PENALTY,16,-0.079703735
2625,64517,PENALTY,17,-0.079830167
1803,5207,PENALTY,28,-0.079927806
2,1241,PENALTY,101,-0.080032866
202,13366,PENALTY,18,-0.080137632
1803,90783,PENALTY,37,-0.080277805
2605,14261,PENALTY,53,-0.080302886
1803,16702,PENALTY,42,-0.080637181
812,83459,PENALTY,22,-0.08082274
9206,36925,PENALTY,32,-0.080995513
1803,5206,PENALTY,77,-0.081200286
338,13082,PENALTY,15,-0.081376295
62,70756,PENALTY,32,-0.081549163
183,26272,PENALTY,21,-0.081817118
338,5616,PENALTY,19,-0.082531947
8354,11855,PENALTY,15,-0.082685258
6502,201097,PENALTY,18,-0.082699548
1803,41209,PENALTY,44,-0.083045295
647,6393,PENALTY,57,-0.083524685
2231,10981,PENALTY,16,-0.083535751
210,366907,PENALTY,20,-0.083832159
647,18830,PENALTY,52,-0.083966966
6491,93742,PENALTY,17,-0.084283998
647,3232,PENALTY,94,-0.084466219
4882,36697,PENALTY,17,-0.08458103
8349,11843,PENALTY,20,-0.084722967
338,41676,PENALTY,35,-0.084871694
478,479,PENALTY,65,-0.084923815
647,3483,PENALTY,60,-0.084944732
4478,31135,PENALTY,38,-0.085152447
478,191782,PENALTY,28,-0.086209512
380,49560,PENALTY,58,-0.086314076
648,10009,PENALTY,52,-0.086349447
62,1991,PENALTY,88,-0.086416907
6502,6503,PENALTY,47,-0.086548944
210,103576,PENALTY,42,-0.086626744
478,8332,PENALTY,56,-0.087064394
188,252471,PENALTY,16,-0.087548834
8349,8376,PENALTY,26,-0.087586042
62,51351,PENALTY,46,-0.087605429
647,75397,PENALTY,54,-0.08770848
138,131137,PENALTY,24,-0.087935916
1196,47771,PENALTY,66,-0.088179469
4882,51261,PENALTY,27,-0.088757871
210,12530,PENALTY,72,-0.088988496
2,2713,PENALTY,111,-0.089026228
2,17279,PENALTY,169,-0.089099876
3657,68648,PENALTY,15,-0.089513925
338,10824,PENALTY,37,-0.089685687
178,1648,PENALTY,55,-0.089816493
221,105026,PENALTY,18,-0.090053508
2,5584,PENALTY,80,-0.090109348
760,16422,PENALTY,38,-0.090291415
9216,125412,PENALTY,19,-0.09045422
811,20920,PENALTY,26,-0.090582973
1351,31795,PENALTY,18,-0.090679251
1803,1842,PENALTY,135,-0.090707619
84790,194325,PENALTY,18,-0.091137613
4243,38992,PENALTY,26,-0.091265956
6491,14927,PENALTY,37,-0.091377302
478,52693,PENALTY,31,-0.091528707
