ELDLogLikelihood,rank,ratingSum
1489.9717427705016,4.4,140
14.273014591208526,3.9,5
7647.933211462839,7.0,2396
2454.628479582923,6.4,939
118.70204421452114,6.8,18
1694.4888659283254,5.5,522
200.44955452850886,6.9,20
5156.2072975976125,5.8,1548
105.14814863220921,3.2,11
2417.774105821337,5.0,336
1909.0059609753746,5.7,121
11426.164103371757,8.0,5731
203.06341545922416,6.9,87
1137.565171786717,6.6,279
17384.866790226526,7.6,5266
527.8647652310984,4.9,74
4968.560038566589,7.5,2015
271.295377101217,7.1,41
22208.190338134766,7.0,4044
1847.1512863976616,6.3,368
306.1405518225261,6.6,34
22513.60620035444,6.3,1390
93.50930325979633,5.6,9
385.39267736673355,6.2,101
2215.8147591123625,5.9,343
2309.589418694776,4.9,399
483.1411150715181,5.1,80
1158.629725762776,5.9,174
359.87030418430055,5.0,75
620.7473468237689,4.7,49
179.95422254343117,5.0,43
2171.288191829409,5.3,484
293.3918151855469,7.1,99
292.1314686030715,6.0,62
3614.7728481292725,5.9,1029
7669.829643249512,6.8,2412
2848.987998076848,6.0,965
5852.772973469326,6.4,1346
1704.4272635323662,5.9,744
1156.2639488152095,6.1,255
1444.6914036273956,6.2,113
2160.4219741427473,4.7,279
3902.167459081426,4.1,146
3550.7032019751414,5.8,620
13703.73701776777,5.9,1663
53614.01047243391,7.8,6874
141.59116177048003,6.5,82
701.5596081188747,6.8,178
14505.20078931536,7.5,3986
37912.68543188913,7.0,5148
67.76128712722233,3.5,2
119.49418135625976,5.7,34
810.7717327049801,5.3,224
487.1946827439325,3.4,34
4413.796646424702,4.9,730
522.531176669257,5.8,64
6728.315904753549,6.7,1443
9223.904575075421,6.6,2091
1263.0674499784197,6.9,374
1080.2684598486105,4.0,95
5816.182645423071,7.5,1866
144.3091606072017,6.9,69
3190.155842985426,5.7,684
2250.91881608963,6.3,482
13164.35952922276,7.5,4892
3607.576904841832,6.5,1137
36760.46705463954,8.2,5525
3918.5826742989675,7.2,345
3458.0468326296127,6.0,475
545.352415910789,5.9,348
10189.762988090515,6.3,4102
11268.716378484454,7.6,3595
7032.758962358747,8.0,2801
6535.296551704407,6.7,1830
19308.669494628906,7.7,5625
5175.8212675044615,4.5,537
18.14286471903324,6.9,1
51.362976455794914,5.7,3
2299.381454910551,7.7,1051
11731.745079313006,7.0,4471
287.53736475608144,3.3,47
3937.6677107129776,6.4,548
656.0355006286076,7.2,290
3317.773432910309,2.3,279
162.3399042468518,5.6,12
8104.138009480068,6.0,1130
5329.328308173588,6.3,1115
1852.9050043651037,6.7,184
2950.3442612375534,6.2,293
5615.554010323116,7.0,1427
4690.420756748745,6.7,725
798.1712462220873,6.9,693
87.36880381618228,7.1,34
1065.9728841951915,5.5,124
3548.188241549901,6.0,537
1771.775692901441,4.6,92
2053.329761777605,7.1,678
1740.2179705415454,6.2,177
1707.9236995152064,7.5,366
883.7972938333239,6.2,71
9663.401467187065,7.4,5334
2005.5276572363716,5.0,73
45265.688256399975,7.8,9241
13188.200873511178,8.0,2372
1480.2730781010218,6.8,855
2910.1653291157313,7.0,1657
10528.548388617379,7.4,2676
24.0879469467327,4.8,5
6209.792949540274,7.1,1851
965.0855879528182,6.0,239
1141.0602796418327,6.4,135
18479.448037556238,7.2,5749
274.6023810952902,4.1,23
8278.265654291425,6.2,2480
1257.5516747917447,5.1,101
9064.247095380511,6.3,1130
1395.4036978312902,6.7,279
2184.0113063880376,4.0,295
4382.319925103869,5.7,982
2076.917534964425,5.9,565
744.8748559270587,6.5,177
2910.772563934326,5.5,546
1250.11641987187,4.7,213
5498.791248321533,6.4,1211
7532.203921794891,7.7,4529
3852.769905158452,5.7,561
1224.2815954344612,5.6,342
2399.5550015653885,6.5,235
8241.308511734009,6.9,1550
53.21582397073507,6.6,4
1100.8971818004336,4.9,111
2721.456089258194,5.1,537
869.080477565527,6.0,19
1483.2682724084173,4.9,369
2675.486656188965,5.0,391
1115.5083797999791,7.5,715
47.14669150965555,5.6,5
2694.0910900660924,7.1,979
8793.663390159607,6.3,3049
1542.0858010905129,5.0,200
2905.0619224820816,6.0,610
3034.7918165751867,7.5,235
9696.330801963806,7.0,843
4516.044626440321,7.8,2642
1473.6345218930926,4.4,161
9872.99201325008,7.6,2122
1884.8676925046104,5.2,348
891.4739361660821,6.0,188
1665.9968583243233,6.6,773
3553.241915662906,5.8,766
2858.347063609532,8.0,1722
13372.2278578622,7.1,2957
57.33958981665118,6.4,7
112.07763114997319,6.6,6
1340.3675030299596,7.3,709
67.0221756696701,6.7,10
6208.613343238831,7.3,1241
12442.624195643833,7.0,4202
7916.685107639858,7.4,1683
15131.393229893276,6.8,2281
1685.768465237958,4.5,216
1429.4535066570554,5.7,143
6293.5970341818675,6.2,598
79.34033439627716,6.3,13
739.7223045315061,5.8,174
6193.754191807338,7.5,563
1669.3879531111036,4.6,445
11795.808880397251,7.2,3720
457.7170275290097,4.7,58
7739.308340890067,6.3,991
4031.2406821932113,5.8,511
976.6381102289472,6.9,53
400.7024657002517,4.6,53
2159.946205684117,5.8,772
1856.241567986352,6.8,1027
1320.23235476017,6.0,470
293.8293721122401,6.3,41
