ELDLogLikelihood,rank,ratingSum
4732.775308881487,7.8,1477
319.2777157139831,7.0,236
2104.9824840197607,8.9,2646
6208.621348197971,5.6,714
37.238059985102154,6.1,5
865.9406609537879,7.4,774
4967.717164028968,6.4,2052
109.4443133479716,6.1,58
574.9522506168911,7.4,232
99.94600850280507,5.9,26
659.1631637510311,8.0,311
208.51180787171637,6.6,200
1595.273043045508,7.5,666
1132.9152235541094,6.5,176
821.7913925267223,7.7,531
220.83442509174347,6.5,84
785.6361676836386,7.9,568
2570.1829639886105,7.1,2340
4049.2243123735702,7.3,2238
923.4257279804775,6.7,260
1707.6810055478875,7.1,613
719.7873837326521,7.5,305
1956.0639354501452,8.0,2041
271.01768698224,5.9,136
141.37201121223293,6.6,10
1059.6607137428862,6.3,686
64.01548400269323,7.2,24
1028.3517910218131,6.4,367
28.52272312130247,7.0,22
512.020719579288,7.8,245
421.7017727902026,8.2,148
2299.664145776204,6.9,715
3313.6824052083707,6.5,933
399.7717626435416,6.6,142
2.8600499188261375,7.3,3
191.76480271135057,7.1,73
3411.0767533954763,6.5,563
117.43431347761569,6.9,60
91.76842849595207,6.2,41
2877.509858375149,8.4,1715
197.86994546428988,6.5,77
1854.6989792936615,8.0,1124
6838.981421623911,7.6,1212
638.9357729628682,7.6,480
129.20200703795334,5.5,40
7536.214237117341,7.9,4201
85.5676373413631,7.1,215
16139.422691732645,8.5,14795
99.44727012089321,5.6,190
2838.017714161692,6.0,323
7.742512068578175,6.8,4
4646.128348431949,7.1,1305
497.7699342455183,5.0,118
903.4997929268118,7.4,747
1183.6560332434517,6.8,169
319.1382344434304,6.7,173
27.09829943418611,6.2,8
2806.0188909614726,7.1,768
8219.608562185827,6.8,660
303.5461803019446,6.2,79
8043.718557814403,6.7,1510
244.60949036053248,7.9,96
13527.667005160025,8.6,4990
10918.251710137087,7.5,5096
915.8151202079441,6.6,581
297.5449902670724,7.9,247
775.6227500300322,5.7,207
439.4898275752951,5.7,159
863.3937781596823,5.1,249
120.05836151327405,6.8,36
905.6183267320905,7.8,1037
566.7710437774658,8.1,254
250.69657952444894,7.5,199
145.84051615851266,5.9,34
846.6341253017474,7.2,230
991.0761958416551,5.7,357
121.90361406121936,6.8,11
1283.5604740745787,8.0,609
178.95173730169023,7.8,119
173.15350891862596,6.4,45
755.72034236363,7.8,626
1759.2068741518472,5.6,326
695.2031522818974,7.1,100
240.3163469859532,6.7,144
72.38857092176166,7.3,283
4829.327762827277,6.5,1113
5265.079332310706,7.2,1843
4334.525556530803,7.1,860
2452.685009275164,6.6,490
312.8340392793928,6.9,146
8830.477694805179,8.3,7692
434.26678780147006,5.8,116
45.946841063493466,6.2,28
881.1620409829276,7.6,937
1330.792951845431,5.8,195
863.615220181777,6.4,379
391.1270080009209,4.8,81
7813.811435309904,7.9,4252
1570.4860705350127,4.2,393
176.01482659604932,4.5,16
149.5163637120443,6.7,17
1838.8827500698555,6.9,353
3739.5561234610423,8.0,3741
1864.3651420048304,7.8,1021
493.15249579293385,8.1,404
3314.84906613401,6.8,1711
2295.72414289202,6.2,491
216.0723578589303,6.4,20
80.12870805255496,6.4,3
1035.4243292127337,8.0,929
201.9419961656843,7.6,39
18.271819423351968,7.0,4
2866.2159230219468,7.7,1729
345.9020256996155,5.3,230
98.39649445669991,7.0,111
303.9794723657625,7.2,125
469.60787811848735,6.9,603
76.05715656280518,7.4,112
73.05607332282567,6.3,20
7042.633305042982,8.7,7365
3013.7865329222486,5.9,554
637.5179903305003,8.0,1097
224.12338191337352,6.5,94
53.261625581171494,6.2,15
6310.44060879999,6.3,601
2229.350067751748,7.9,921
40.758153770651134,6.3,4
36.9212247133255,6.5,25
14721.938704354423,7.2,2407
5138.442647884467,7.0,1267
402.859301839556,6.1,111
30.60772011064442,4.4,2
2164.8022968082555,6.5,836
329.1190335409982,8.0,445
246.97695410065353,6.0,98
3604.806435721261,6.4,1167
6350.017023707075,8.5,4898
2158.9273018208996,6.1,392
3251.6756956917898,6.5,1204
538.5612526481439,6.0,207
35.61695196130313,6.9,10
951.3289250848549,4.9,374
1708.6875036313597,6.8,486
484.5099157344417,6.5,81
20.32404208047748,6.8,6
7307.829185564337,7.3,725
137.10250841919333,6.4,79
5180.255839484079,7.1,3036
213.46630674014366,4.8,17
10535.470287039876,7.3,5208
99.26866785250604,7.3,180
171.25196763447352,5.4,12
360.094160950277,6.6,112
33.225151581423624,6.6,9
3762.9494913997396,6.5,1567
6749.9599640502465,6.7,870
712.0161617824009,6.3,389
380.9920345579407,5.5,92
2449.522580142532,6.8,1799
626.3812591688974,6.7,118
641.9186794757843,8.1,1156
26.440111750553893,6.7,27
1559.0352141247797,5.2,243
210.85979461669922,6.1,144
39.2216081060095,5.4,9
4156.519866583602,7.6,3070
55.90891250063266,6.7,4
608.1627862098893,5.8,39
562.7334576045562,7.9,467
20.779184256281173,6.8,4
1644.544484748106,7.6,595
4081.8207685340726,7.9,3425
1545.6302730015345,7.3,622
2602.09307441754,4.5,2097
143.4759128756289,5.2,85
320.03738825661793,7.2,378
100.06806212863219,6.4,10
108.39855631251287,3.9,11
2920.436857495989,8.0,995
