ELD,timeplayed,ShotsonTarget,,,,,,,,,,,,
7.981743568,1862,26,,,,,,,,,,,,
0.897098306,2,1,,,,,,,,,,,,
5.24861702,348,2,,,,,,,,,,,,
4.92065427,1244,16,,,,,,,,,,,,
14.51541262,3334,82,,,,,,,,,,,,
6.52246652,1480,21,,,,,,,,,,,,
6.337909871,1241,16,,,,,,,,,,,,
8.478290386,3335,19,,,,,,,,,,,,
11.425424,2839,70,,,,,,,,,,,,
8.648157294,2451,31,,,,,,,,,,,,
3.973430549,307,6,,,,,,,,,,,,
4.378400541,456,4,,,,,,,,,,,,
3.453963705,1106,15,,,,,,,,,,,,
7.506806168,1904,20,,,,,,,,,,,,
4.904906763,383,3,,,,,,,,,,,,
10.61155297,2845,37,,,,,,,,,,,,
5.077046494,520,4,,,,,,,,,,,,
3.239783964,169,2,,,,,,,,,,,,
4.895564198,1165,8,,,,,,,,,,,,
1.565116119,94,1,,,,,,,,,,,,
2.556190456,458,7,,,,,,,,,,,,
7.133653162,2840,48,,,,,,,,,,,,
7.542727901,1458,9,,,,,,,,,,,,
0.572728559,79,0,,,,,,,,,,,,
2.749533322,256,6,,,,,,,,,,,,
3.472657233,975,1,,,,,,,,,,,,
6.471161948,837,7,,,,,,,,,,,,
8.673327982,2353,28,,,,,,,,,,,,
4.825701074,942,11,,,,,,,,,,,,
6.023200211,1013,8,,,,,,,,,,,,
3.34219638,318,1,,,,,,,,,,,,
7.374510984,3122,25,,,,,,,,,,,,
2.318654743,148,0,,,,,,,,,,,,
2.533790376,128,1,,,,,,,,,,,,
4.040729841,601,15,,,,,,,,,,,,
7.408344027,2350,20,,,,,,,,,,,,
6.262379328,2186,19,,,,,,,,,,,,
6.81435332,2288,24,,,,,,,,,,,,
3.784554243,756,9,,,,,,,,,,,,
7.961805784,2763,18,,,,,,,,,,,,
4.853235248,596,3,,,,,,,,,,,,
3.855900394,636,3,,,,,,,,,,,,
3.917766227,444,5,,,,,,,,,,,,
2.44698347,467,0,,,,,,,,,,,,
0.711806316,69,1,,,,,,,,,,,,
1.361960586,233,3,,,,,,,,,,,,
2.284169561,383,4,,,,,,,,,,,,
9.156056166,1868,16,,,,,,,,,,,,
0.380498441,6,0,,,,,,,,,,,,
8.894712793,1511,11,,,,,,,,,,,,
6.740773675,1155,15,,,,,,,,,,,,
6.288544708,1243,17,,,,,,,,,,,,
3.866998363,576,5,,,,,,,,,,,,
11.69448837,2600,52,,,,,,,,,,,,
7.025004456,2046,21,,,,,,,,,,,,
2.954423186,412,8,,,,,,,,,,,,
9.83893598,2940,22,,,,,,,,,,,,
7.491439462,2556,48,,,,,,,,,,,,
4.409490772,952,7,,,,,,,,,,,,
1.044722334,240,2,,,,,,,,,,,,
0.494203112,1,0,,,,,,,,,,,,
7.537233598,2065,27,,,,,,,,,,,,
10.45606128,2098,22,,,,,,,,,,,,
2.226335188,49,1,,,,,,,,,,,,
1.978188217,62,1,,,,,,,,,,,,
0.494203112,6,0,,,,,,,,,,,,
8.858994676,2268,32,,,,,,,,,,,,
6.507407275,1321,32,,,,,,,,,,,,
8.428638551,1497,36,,,,,,,,,,,,
5.32456396,1104,11,,,,,,,,,,,,
4.453677747,1113,21,,,,,,,,,,,,
7.102638642,1476,22,,,,,,,,,,,,
5.798294412,1685,17,,,,,,,,,,,,
6.145570099,2530,24,,,,,,,,,,,,
3.013724652,166,1,,,,,,,,,,,,
3.20330235,204,0,,,,,,,,,,,,
2.5791841,281,5,,,,,,,,,,,,
8.312986162,2729,45,,,,,,,,,,,,
1.496005111,3217,30,,,,,,,,,,,,
5.770058605,2038,27,,,,,,,,,,,,
7.132340954,2018,34,,,,,,,,,,,,
1.71571919,630,2,,,,,,,,,,,,
2.498706102,163,1,,,,,,,,,,,,
6.3889284,835,2,,,,,,,,,,,,
0.388913305,11,0,,,,,,,,,,,,
1.801150802,70,0,,,,,,,,,,,,
1.033778021,148,0,,,,,,,,,,,,
7.025666932,2245,35,,,,,,,,,,,,
4.518635992,527,4,,,,,,,,,,,,
4.50325243,734,9,,,,,,,,,,,,
4.295175787,519,4,,,,,,,,,,,,
4.374785723,247,6,,,,,,,,,,,,
0.748532689,18,0,,,,,,,,,,,,
6.552673015,1005,8,,,,,,,,,,,,
4.715915084,957,17,,,,,,,,,,,,
4.538414273,536,12,,,,,,,,,,,,0.829623647
3.031743242,158,4,,,,,,,,,,,,
1.002327058,39,0,,,,,,,,,,,,
7.338772231,1287,26,,,,,,,,,,,,
1.040283051,5,0,,,,,,,,,,,,
1.189960738,15,1,,,,,,,,,,,,
3.55480825,533,8,,,,,,,,,,,,
3.68557699,512,9,,,,,,,,,,,,
6.632548776,819,6,,,,,,,,,,,,
0.691323469,1,0,,,,,,,,,,,,
0.380498441,4,0,,,,,,,,,,,,
0.822172418,11,0,,,,,,,,,,,,
5.818710923,192,2,,,,,,,,,,,,
7.379085395,1496,18,,,,,,,,,,,,
4.469884336,435,3,,,,,,,,,,,,
