ELD,FD,LOG,LR,absLR,class,ID
117.2711,27.5557,69.9802,5.1623,58.3895,2,261
117.2711,75.0064,69.9802,5.1623,58.3895,2,251
111.8745,27.5557,71.9633,6.5629,56.3659,2,254
111.8745,71.566,71.9633,5.1623,56.3659,2,264
125.7478,27.5557,91.87,8.5869,54.1717,2,272
125.7478,89.1501,91.87,8.5869,54.1717,2,249
125.7478,89.1501,91.8961,24.0755,54.1717,2,244
125.7478,27.5557,91.87,8.5869,54.1717,2,259
129.5463,90.9696,96.2794,7.6842,53.8962,2,275
123.3361,27.5557,96.2533,24.217,52.1481,2,241
123.3361,86.8841,96.2533,24.217,52.1481,2,255
128.1436,27.5557,104.9413,28.8569,51.8726,2,263
128.1436,27.5557,100.6365,28.8569,51.8726,2,266
123.7717,27.5557,91.8439,5.124,51.7352,2,246
123.7717,86.8841,91.8439,22.2689,51.7352,2,270
113.9472,27.5557,78.7204,5.1348,51.558,2,265
113.9472,75.0064,78.7204,5.1348,51.558,2,242
113.9472,75.0064,78.7204,5.1348,51.558,2,245
120.5564,84.276,91.87,5.1623,49.7116,2,247
120.5564,31.5029,91.87,22.4105,49.7116,2,258
120.5564,31.5029,91.87,22.4105,49.7116,2,274
120.5004,81.3955,78.7204,21.6178,49.1074,2,257
120.5004,31.5029,78.7204,21.6178,49.1074,2,278
122.0989,84.276,83.0775,21.5712,48.3149,2,253
122.0989,84.276,91.7916,21.5712,48.3149,2,260
122.0989,84.276,87.5391,21.5712,48.3149,2,267
122.0989,31.5029,87.5391,21.5712,48.3149,2,273
116.0463,78.293,87.5391,21.7594,47.0837,2,250
116.0463,78.293,80.7298,21.7594,47.0837,2,276
116.0463,78.293,83.0775,21.7594,47.0837,2,271
116.0463,78.293,87.513,21.7594,47.0837,2,252
116.0463,78.293,80.7298,21.7594,47.0837,2,277
118.2157,81.3955,91.8439,5.1623,46.2913,2,243
118.2157,31.5029,96.2009,21.7129,46.2913,2,269
118.2157,81.3955,91.7916,21.7129,46.2913,2,268
118.2157,81.3955,91.8961,21.7129,46.2913,2,279
118.2157,81.3955,91.8439,21.7129,46.2913,2,256
118.2157,81.3955,91.8439,21.7129,46.2913,2,248
118.2157,81.3955,91.8439,21.7129,46.2913,2,262
118.2157,81.3955,87.4607,21.7129,46.2913,2,280
40.1329,9.6786,54.4306,9.0064,39.1125,1,66
52.7756,75.0064,54.4306,28.7153,34.1659,1,129
39.249,21.5078,65.623,7.5783,32.4441,1,168
39.249,21.5078,65.623,7.5783,32.4441,1,87
39.249,21.5078,65.623,7.5783,32.4441,1,158
54.4169,31.5029,58.7876,7.1145,29.7321,1,240
43.4302,23.5745,58.8138,5.0992,28.5252,1,29
43.4302,23.5745,58.8138,5.0992,28.5252,1,60
29.4926,9.6786,61.266,5.0469,28.4835,1,151
35.2638,15.5559,61.266,4.4343,28.1323,1,21
55.5801,35.4036,69.9802,8.6022,27.8934,1,155
50.8136,31.5029,65.623,5.124,27.0498,1,6
50.8136,84.276,65.6491,5.124,27.0498,1,141
50.8136,31.5029,65.6491,22.2689,27.0498,1,118
30.5647,17.607,69.9802,5.0194,26.8242,1,170
30.5647,17.607,69.9802,5.0194,26.8242,1,174
45.9732,89.1501,61.266,4.5295,24.0913,1,221
