ELD,FD,LOG,LR,absLR,class,ID
115.1417,15.6908,98.5637,53.5128,110.3071,2,266
107.1205,15.6232,94.1367,38.6272,107.0528,2,250
130.5688,50.1754,92.4827,42.8361,106.6027,2,258
101.4723,24.4425,102.7497,13.2476,91.1616,2,274
86.3689,7.7281,91.154,34.8403,86.211,2,260
95.2247,15.7134,103.3963,13.2476,86.1695,2,251
103.5585,27.5728,101.919,33.6919,84.7668,2,270
101.0946,39.0319,99.1242,26.2988,84.5415,2,264
87.1028,8.5393,104.225,34.7764,83.1634,2,253
85.7052,12.5264,104.4476,31.2849,81.9896,2,244
92.2913,15.6232,101.0654,24.7875,81.9806,2,246
84.4316,11.4405,104.4476,31.0088,80.9716,2,269
85.179,16.2052,104.1564,28.226,80.7085,2,272
84.5212,15.6908,104.1564,28.0151,79.7198,2,261
89.5549,23.3566,103.425,28.5839,79.5857,2,252
89.0969,28.373,102.665,26.6111,79.582,2,275
94.3879,20.1356,103.0139,8.7785,77.6219,2,254
102.449,16.4233,100.7647,8.7785,77.2827,2,247
82.2108,23.5054,102.5287,22.9104,76.984,2,267
93.633,19.5073,102.665,8.7785,75.3535,2,256
83.9294,19.6779,103.9743,24.9203,74.5108,2,259
87.5856,15.6232,102.665,25.9858,74.3904,2,276
76.663,8.5393,105.0527,27.3136,72.7347,2,277
76.2166,7.7392,89.1649,27.2385,71.8517,2,265
75.232,12.5264,104.83,24.2674,71.5274,2,262
70.508,23.3317,100.4438,18.2709,70.3199,2,248
91.8843,15.6232,98.5637,26.6476,69.5964,2,249
83.3108,23.6424,103.425,22.1927,69.3354,2,279
76.46,8.2424,104.83,27.3656,68.5953,2,263
82.5968,16.4233,91.154,19.7525,68.0275,2,257
74.8716,16.2277,104.4476,21.2104,66.2213,2,255
83.5527,24.1227,103.2024,22.3744,66.2113,2,241
73.9918,20.1922,103.6757,18.6242,61.0272,2,278
65.2598,12.2407,104.4476,17.9335,61.0091,2,242
66.376,8.5282,104.83,8.6811,58.2701,2,280
58.3353,0.5429,105.2531,20.3889,58.1924,2,273
55.9528,8.5283,103.9743,15.13,55.825,2,271
63.3908,16.1373,102.665,16.1794,47.9254,2,243
34.6858,7.7281,99.588,6.0514,34.5278,2,245
34.2648,20.3074,84.2133,5.1794,34.2648,1,168
34.2648,20.3074,84.2133,5.1794,34.2648,1,87
34.2648,20.3074,84.2133,5.1794,34.2648,1,158
36.5639,4.5411,101.3862,7.7088,32.4561,2,268
29.0437,28.0872,74.5798,7.6909,28.7579,1,155
27.0114,27.5729,82.4151,3.6114,27.0114,1,174
27.0114,27.844,82.4151,3.6114,27.0114,1,170
27.0598,15.6232,105.0304,3.1071,26.774,1,240
25.9555,8.5283,95.9348,3.2643,25.8276,1,66
25.6714,38.519,82.4151,3.2218,25.3856,1,118
25.6714,15.6232,82.4151,3.2218,25.3856,1,6
25.6714,31.8313,82.4151,3.2218,25.3856,1,141
24.4329,11.6926,92.9522,2.686,24.2674,1,129
21.945,15.6232,72.236,6.766,21.6593,1,145
21.945,27.2871,72.236,6.766,21.6593,1,142
21.945,15.6232,72.236,6.766,21.6593,1,228
21.945,38.746,72.236,6.766,21.6593,1,104
19.8828,12.4928,80.0712,2.5891,19.8828,1,75
19.8828,12.4928,80.0712,2.5891,19.8828,1,88
19.8828,12.4928,80.0712,2.5891,19.8828,1,109
19.8828,12.4928,80.0712,2.5891,19.8828,1,113
19.8828,12.4928,80.0712,2.5891,19.8828,1,99
19.8828,12.4928,80.0712,2.5891,19.8828,1,2
19.8828,12.4928,80.0712,2.5891,19.8828,1,206
19.9794,12.4928,69.2533,6.772,19.8141,1,217
19.9794,12.4928,69.2533,6.772,19.8141,1,208
19.9794,12.4928,69.2533,6.772,19.8141,1,127
19.9794,12.4928,69.2533,6.772,19.8141,1,111
19.8766,11.6926,87.3667,1.6365,19.5909,1,137
19.8766,11.6926,87.3667,1.6365,19.5909,1,121
19.8766,11.6926,87.3667,1.6365,19.5909,1,221
19.8766,11.6926,87.3667,1.6365,19.5909,1,105
19.378,11.6926,69.2533,6.4798,19.2577,1,146
19.378,11.6926,69.2533,6.4798,19.2577,1,160
19.378,11.6926,69.2533,6.4798,19.2577,1,100
19.378,11.6926,69.2533,6.4798,19.2577,1,143
19.378,11.6926,69.2533,6.4798,19.2577,1,237
19.378,11.6926,69.2533,6.4798,19.2577,1,83
19.2814,8.5283,65.466,7.1931,19.1236,1,30
19.2814,8.5283,65.466,7.1931,19.1236,1,89
19.2814,8.5283,65.466,7.1931,19.1236,1,152
19.2814,8.5283,65.466,7.1931,19.1236,1,36
19.2814,8.5283,65.466,7.1931,19.1236,1,159
19.2814,8.5283,65.466,7.1931,19.1236,1,86
19.2814,8.5283,65.466,7.1931,19.1236,1,136
19.2814,8.5283,65.466,7.1931,19.1236,1,62
19.2814,8.5283,65.466,7.1931,19.1236,1,7
19.2814,8.5283,65.466,7.1931,19.1236,1,205
18.6137,7.7281,65.466,6.9983,18.486,1,233
18.6137,7.7281,65.466,6.9983,18.486,1,42
18.6137,7.7281,65.466,6.9983,18.486,1,63
18.6137,7.7281,65.466,6.9983,18.486,1,128
18.6137,7.7281,65.466,6.9983,18.486,1,236
18.6137,7.7281,65.466,6.9983,18.486,1,25
18.6137,7.7281,65.466,6.9983,18.486,1,185
18.6137,7.7281,65.466,6.9983,18.486,1,4
18.6137,7.7281,65.466,6.9983,18.486,1,126
18.598,11.6926,80.0712,2.2969,18.3123,1,103
18.598,11.6926,80.0712,2.2969,18.3123,1,138
18.598,11.6926,80.0712,2.2969,18.3123,1,122
18.598,11.6926,80.0712,2.2969,18.3123,1,40
18.598,11.6926,80.0712,2.2969,18.3123,1,234
17.7821,4.5411,60.5144,8.7785,17.6318,1,96
17.7821,4.5411,60.5144,8.7785,17.6318,1,95
17.7821,4.5411,60.5144,8.7785,17.6318,1,101
17.7821,4.5411,60.5144,8.7785,17.6318,1,8
17.7821,4.5411,60.5144,8.7785,17.6318,1,188
17.7821,4.5411,60.5144,8.7785,17.6318,1,223
17.7821,4.5411,60.5144,8.7785,17.6318,1,35
17.7821,4.5411,60.5144,8.7785,17.6318,1,78
17.7821,4.5411,60.5144,8.7785,17.6318,1,120
17.7821,4.5411,60.5144,8.7785,17.6318,1,55
17.0482,3.741,60.5144,8.6811,16.9129,1,68
17.0482,3.741,60.5144,8.6811,16.9129,1,110
17.0482,3.741,60.5144,8.6811,16.9129,1,26
17.0482,3.741,60.5144,8.6811,16.9129,1,64
17.0482,3.741,60.5144,8.6811,16.9129,1,18
17.0482,3.741,60.5144,8.6811,16.9129,1,157
16.8454,8.5283,102.4991,1.4102,16.7175,1,151
15.9128,7.7281,91.154,1.2154,15.7548,1,60
15.9128,7.7281,103.9743,1.2154,15.7548,1,29
15.5021,8.5283,77.0886,2.2055,15.3443,1,39
15.5021,8.5283,77.0886,2.2055,15.3443,1,176
15.5021,8.5283,77.0886,2.2055,15.3443,1,211
15.5021,8.5283,77.0886,2.2055,15.3443,1,74
15.5021,8.5283,77.0886,2.2055,15.3443,1,24
15.5021,8.5283,77.0886,2.2055,15.3443,1,37
15.5021,8.5283,77.0886,2.2055,15.3443,1,51
15.5021,8.5283,77.0886,2.2055,15.3443,1,80
15.5021,8.5283,77.0886,2.2055,15.3443,1,167
15.5021,8.5283,77.0886,2.2055,15.3443,1,93
15.5021,8.5283,77.0886,2.2055,15.3443,1,23
15.5021,8.5283,77.0886,2.2055,15.3443,1,92
15.5021,8.5283,77.0886,2.2055,15.3443,1,135
15.5021,8.5283,77.0886,2.2055,15.3443,1,207
15.5021,8.5283,77.0886,2.2055,15.3443,1,48
15.5021,8.5283,77.0886,2.2055,15.3443,1,84
15.5021,8.5283,77.0886,2.2055,15.3443,1,213
15.5021,8.5283,77.0886,2.2055,15.3443,1,140
15.5021,8.5283,77.0886,2.2055,15.3443,1,184
14.9651,4.5411,73.3013,2.6266,14.8148,1,97
14.9651,4.5411,73.3013,2.6266,14.8148,1,169
14.9651,4.5411,73.3013,2.6266,14.8148,1,67
14.9651,4.5411,73.3013,2.6266,14.8148,1,218
14.9651,4.5411,73.3013,2.6266,14.8148,1,123
14.9651,4.5411,73.3013,2.6266,14.8148,1,196
14.9651,4.5411,73.3013,2.6266,14.8148,1,13
14.9651,4.5411,73.3013,2.6266,14.8148,1,173
14.9651,4.5411,73.3013,2.6266,14.8148,1,195
14.9651,4.5411,73.3013,2.6266,14.8148,1,57
