ELD,FD,LOG,LR,absLR,class,ID
62.6947,11.9497,107.8663,29.7912,62.6947,2,268
62.6947,11.9497,107.9713,29.4763,62.6947,2,248
57.9471,3.9981,109.3215,37.5599,57.947,2,246
57.9471,3.9981,109.4916,37.5599,57.947,2,245
57.9471,3.9981,109.1116,37.5599,57.947,2,279
57.9471,3.9981,109.5966,13.6617,57.947,2,242
57.9471,3.9981,109.7016,37.4549,57.947,2,277
57.6142,3.9981,107.9713,25.6382,57.6142,2,252
57.6142,3.9981,107.9713,25.6382,57.6142,2,250
57.6142,3.9981,107.9713,25.5333,57.6142,2,261
57.6142,3.9981,107.2111,25.6382,57.6142,2,241
55.0188,19.7642,108.6265,30.1047,55.0188,2,258
55.0188,0,108.2464,30.1047,55.0188,2,269
55.0188,23.5886,107.2111,13.221,55.0188,2,244
55.0188,19.7642,108.6265,30.1047,55.0188,2,249
55.0188,19.7642,108.7315,30.1047,55.0188,2,247
55.0188,0,108.3514,30.1047,55.0188,2,264
53.6913,3.9981,107.4862,17.7645,53.6913,2,257
53.6913,3.9981,107.4862,17.6596,53.6913,2,272
53.6913,3.9981,107.4862,17.7645,53.6913,2,265
52.6791,23.5886,109.8066,44.9102,52.6791,2,243
60.7216,7.9852,108.2464,33.0935,52.3575,2,262
52.0358,19.7642,107.6563,21.0668,52.0358,2,256
52.0358,19.7642,107.6962,21.0668,52.0358,2,255
52.0358,0,107.5912,21.0668,52.0358,2,276
59.4265,7.9852,107.5912,22.3359,51.1069,2,263
59.4265,7.9852,107.5912,22.3359,51.1069,2,251
59.4265,7.9852,107.5912,22.3359,51.1069,2,274
59.4265,7.9852,107.5912,22.3359,51.1069,2,273
59.4265,7.9852,107.5912,11.8673,51.1069,2,266
41.2455,23.5886,107.1061,7.555,40.212,1,160
48.2849,3.9981,107.3161,11.7547,48.2849,1,127
50.1758,0,107.3812,14.3573,47.195,2,270
64.2025,15.8801,107.6962,26.8737,46.9623,2,278
64.2025,15.8801,107.8663,26.8737,46.9623,2,254
54.9156,7.9852,107.3812,15.267,46.6406,2,280
54.9156,7.9852,107.3812,15.057,46.6406,2,259
61.8442,15.8801,107.3161,17.9796,44.7853,2,267
61.8442,15.8801,107.4211,17.5597,44.7853,2,253
65.3892,19.7642,107.4862,24.9099,43.6155,2,271
43.2628,23.5886,99.3197,9.1334,43.2628,1,238
43.2628,23.5886,106.7912,5.4375,43.2628,1,201
43.2472,19.7642,107.1061,4.4275,43.2472,1,28
42.8584,11.9497,98.0744,22.3359,42.8584,1,125
42.8584,11.9497,108.9414,4.946,42.8584,1,214
42.478,7.9852,97.5893,13.8717,42.478,1,69
42.478,7.9852,98.0744,37.5599,42.478,1,146
