MatchID,HomeTeam,RoadTeam,HomeNumberPenalties,RoadNumberPenalties,HomeTeamPMinutes,RoadTeamPMinutes,GoalDifferential,HomePenaltySum,AwayPenaltySum,HomeTeamPlayers,RoadTeamPlayers,Period,Time_Of_Penalty,minutes,seconds,RegularSeason
2014020513,11,18,1,1,2,2,3,NULL,NULL,5,5,2,0:13:39,33,39,1
2014020512,22,1,1,1,2,2,-1,NULL,NULL,5,5,2,0:02:33,22,33,1
2014020512,22,1,1,1,2,2,-3,NULL,NULL,4,5,3,0:11:03,51,3,1
2014020510,6,32,1,1,2,2,-4,NULL,NULL,5,5,3,0:19:45,59,45,1
2014020507,20,7,1,1,2,2,-3,NULL,NULL,5,5,3,0:20:00,60,0,1
2014020496,5,7,1,1,2,2,1,NULL,NULL,5,5,2,0:06:03,26,3,1
2014020492,6,22,1,1,2,2,3,NULL,NULL,5,5,2,0:13:31,33,31,1
2014020485,15,21,1,1,2,2,1,NULL,NULL,5,5,1,0:08:24,8,24,1
2014020485,15,21,1,1,2,2,1,NULL,NULL,4,4,2,0:10:05,30,5,1
2014020478,16,22,1,1,2,2,-2,NULL,NULL,5,5,2,0:15:14,35,14,1
2014020474,14,12,1,1,2,2,2,NULL,NULL,5,5,2,0:07:51,27,51,1
2014020472,19,18,1,1,2,2,-1,NULL,NULL,5,5,2,0:19:05,39,5,1
2014020471,2,10,1,1,2,2,-1,NULL,NULL,5,5,2,0:11:02,31,2,1
2014020470,30,3,1,1,2,2,0,NULL,NULL,5,5,1,0:00:58,0,58,1
2014020470,30,3,1,1,2,2,0,NULL,NULL,5,5,2,0:12:51,32,51,1
2014020467,7,21,1,1,2,2,-1,NULL,NULL,5,5,2,0:00:36,20,36,1
2014020454,1,10,1,1,2,2,1,NULL,NULL,5,5,3,0:02:10,42,10,1
2014020451,28,14,1,1,2,2,-1,NULL,NULL,5,5,3,0:04:00,44,0,1
2014020448,1,19,1,1,2,2,2,NULL,NULL,5,5,2,0:04:55,24,55,1
2014020447,26,17,1,1,2,2,1,NULL,NULL,5,5,2,0:12:54,32,54,1
2014020447,26,17,1,1,2,2,1,NULL,NULL,5,5,3,0:12:28,52,28,1
2014020444,32,20,1,1,2,2,1,NULL,NULL,5,5,2,0:08:31,28,31,1
2014020441,30,15,1,1,2,2,0,NULL,NULL,5,5,3,0:17:10,57,10,1
2014020438,1,9,1,1,2,2,2,NULL,NULL,5,5,3,0:10:30,50,30,1
2014020436,7,29,1,1,2,2,2,NULL,NULL,5,5,2,0:05:44,25,44,1
2014020431,15,16,1,1,2,2,1,NULL,NULL,5,5,1,0:02:48,2,48,1
2014020431,15,16,1,1,2,2,1,NULL,NULL,5,5,2,0:17:33,37,33,1
2014020430,26,20,1,1,2,2,0,NULL,NULL,5,5,2,0:06:05,26,5,1
2014020427,18,28,1,1,2,2,1,NULL,NULL,5,5,1,0:10:42,10,42,1
2014020427,18,28,1,1,2,2,3,NULL,NULL,5,5,3,0:19:39,59,39,1
2014020426,12,29,1,1,2,2,0,NULL,NULL,5,5,1,0:06:12,6,12,1
2014020424,3,30,1,1,2,2,0,NULL,NULL,5,5,2,0:08:37,28,37,1
2014020417,11,17,1,1,2,2,-3,NULL,NULL,5,5,3,0:19:23,59,23,1
2014020399,22,2,1,1,2,2,2,NULL,NULL,5,5,2,0:19:49,39,49,1
2014020397,28,18,1,1,2,2,0,NULL,NULL,5,5,2,0:16:32,36,32,1
2014020396,14,3,1,1,2,2,-2,NULL,NULL,5,5,2,0:19:36,39,36,1
2014020396,14,3,1,1,2,2,-2,NULL,NULL,5,5,3,0:12:25,52,25,1
2014020394,12,30,1,1,2,2,-2,NULL,NULL,5,5,2,0:16:26,36,26,1
2014020394,12,30,1,1,2,2,-2,NULL,NULL,5,5,2,0:18:50,38,50,1
2014020394,12,30,1,1,2,2,-3,NULL,NULL,5,5,3,0:17:36,57,36,1
2014020390,15,27,1,1,2,2,1,NULL,NULL,4,5,2,0:00:04,20,4,1
2014020388,5,11,1,1,2,2,1,NULL,NULL,5,5,2,0:03:39,23,39,1
2014020386,26,13,1,1,2,2,1,NULL,NULL,5,5,3,0:10:59,50,59,1
2014020382,21,30,1,1,2,2,0,NULL,NULL,5,5,3,0:13:28,53,28,1
2014020377,29,3,1,1,2,2,-1,NULL,NULL,5,5,1,0:12:34,12,34,1
2014020376,15,25,1,1,2,2,-3,NULL,NULL,5,5,3,0:06:03,46,3,1
2014020375,10,7,1,1,2,2,-1,NULL,NULL,5,5,2,0:06:25,26,25,1
2014020371,19,13,1,1,2,2,1,NULL,NULL,5,5,1,0:19:56,19,56,1
2014020365,3,25,1,1,2,2,-1,NULL,NULL,5,5,3,0:03:54,43,54,1
2014020356,9,25,1,1,2,2,2,NULL,NULL,5,5,1,0:14:52,14,52,1
2014020355,26,10,1,1,2,2,2,NULL,NULL,5,5,3,0:02:56,42,56,1
2014020349,29,15,1,1,2,2,-2,NULL,NULL,5,5,3,0:15:50,55,50,1
2014020347,28,14,1,1,2,2,1,NULL,NULL,5,5,2,0:16:47,36,47,1
2014020343,22,20,1,1,2,2,0,NULL,NULL,5,5,3,0:05:32,45,32,1
2014020341,21,27,1,1,2,2,0,NULL,NULL,5,5,3,0:01:54,41,54,1
2014020338,14,9,1,1,2,2,0,NULL,NULL,5,5,1,0:02:05,2,5,1
2014020338,14,9,1,1,2,2,1,NULL,NULL,5,5,3,0:00:20,40,20,1
2014020331,26,16,1,1,2,2,0,NULL,NULL,5,5,2,0:05:59,25,59,1
2014020331,26,16,1,1,2,2,0,NULL,NULL,5,5,2,0:16:05,36,5,1
2014020329,20,19,1,1,2,2,0,NULL,NULL,5,5,1,0:01:01,1,1,1
2014020328,15,1,1,1,2,2,0,NULL,NULL,5,5,3,0:04:33,44,33,1
2014020324,28,3,1,1,2,2,1,NULL,NULL,5,5,2,0:10:43,30,43,1
2014020322,10,16,1,1,2,2,3,NULL,NULL,5,5,3,0:07:21,47,21,1
2014020322,10,16,1,1,2,2,3,NULL,NULL,5,5,3,0:10:37,50,37,1
2014020317,18,27,1,1,2,2,1,NULL,NULL,5,5,1,0:18:05,18,5,1
2014020317,18,27,1,1,2,2,1,NULL,NULL,5,5,2,0:10:12,30,12,1
2014020315,21,20,1,1,2,2,0,NULL,NULL,5,5,1,0:01:40,1,40,1
2014020312,13,15,1,1,2,2,0,NULL,NULL,5,5,2,0:15:30,35,30,1
2014020309,23,2,1,1,2,2,3,NULL,NULL,5,5,2,0:17:31,37,31,1
2014020309,23,2,1,1,2,2,4,NULL,NULL,5,5,3,0:06:29,46,29,1
2014020305,16,14,1,1,2,2,-1,NULL,NULL,5,5,1,0:09:25,9,25,1
2014020300,7,30,1,1,2,2,1,NULL,NULL,5,5,2,0:10:06,30,6,1
2014020299,28,15,1,1,2,2,-1,NULL,NULL,5,5,2,0:05:59,25,59,1
2014020295,27,18,1,1,2,2,-2,NULL,NULL,5,4,2,0:13:30,33,30,1
2014020292,15,28,1,1,2,2,-1,NULL,NULL,5,5,2,0:12:25,32,25,1
2014020286,11,3,1,1,2,2,0,NULL,NULL,5,5,3,0:13:42,53,42,1
2014020283,27,17,1,1,2,2,-1,NULL,NULL,5,5,1,0:19:31,19,31,1
2014020280,7,20,1,1,2,2,0,NULL,NULL,5,5,1,0:17:10,17,10,1
2014020280,7,20,1,1,2,2,-1,NULL,NULL,5,5,3,0:06:40,46,40,1
2014020277,19,21,1,1,2,2,0,NULL,NULL,4,5,1,0:17:46,17,46,1
2014020274,22,29,1,1,2,2,1,NULL,NULL,5,5,1,0:15:49,15,49,1
2014020269,28,12,1,1,2,2,3,NULL,NULL,5,5,3,0:19:56,59,56,1
2014020268,8,26,1,1,2,2,1,NULL,NULL,5,5,2,0:06:20,26,20,1
2014020262,9,2,1,1,2,2,-3,NULL,NULL,5,5,3,0:08:58,48,58,1
2014020258,18,3,1,1,2,2,2,NULL,NULL,5,5,3,0:09:05,49,5,1
2014020255,15,23,1,1,2,2,0,NULL,NULL,5,5,3,0:13:47,53,47,1
2014020255,15,23,1,1,2,2,0,NULL,NULL,5,5,4,0:02:49,62,49,1
2014020253,12,28,1,1,2,2,3,NULL,NULL,5,5,3,0:19:48,59,48,1
2014020251,8,1,1,1,2,2,4,NULL,NULL,5,5,3,0:19:09,59,9,1
2014020247,25,32,1,1,2,2,-1,NULL,NULL,5,5,2,0:02:52,22,52,1
2014020243,3,14,1,1,2,2,0,NULL,NULL,5,5,2,0:16:33,36,33,1
2014020240,6,27,1,1,2,2,0,NULL,NULL,5,5,3,0:16:28,56,28,1
2014020239,16,32,1,1,2,2,0,NULL,NULL,5,5,2,0:15:32,35,32,1
2014020235,2,13,1,1,2,2,4,NULL,NULL,5,5,3,0:17:40,57,40,1
2014020228,4,12,1,1,2,2,0,NULL,NULL,5,5,3,0:11:16,51,16,1
2014020218,13,14,1,1,2,2,-1,NULL,NULL,5,5,1,0:06:43,6,43,1
2014020218,13,14,1,1,2,2,2,NULL,NULL,5,5,3,0:16:39,56,39,1
2014020217,10,25,1,1,2,2,0,NULL,NULL,5,5,3,0:02:58,42,58,1
2014020213,19,25,1,1,2,2,5,NULL,NULL,4,5,3,0:09:17,49,17,1
2014020211,22,26,1,1,2,2,1,NULL,NULL,5,5,3,0:06:10,46,10,1
2014020206,27,5,1,1,2,2,0,NULL,NULL,5,5,3,0:09:14,49,14,1
2014020203,8,15,1,1,2,2,-4,NULL,NULL,5,5,2,0:07:15,27,15,1
2014020199,9,14,1,1,2,2,1,NULL,NULL,5,5,2,0:00:15,20,15,1
2014020198,29,30,1,1,2,2,-1,NULL,NULL,5,4,3,0:10:27,50,27,1
2014020194,11,1,1,1,2,2,0,NULL,NULL,5,5,3,0:19:55,59,55,1
2014020192,5,15,1,1,2,2,-2,NULL,NULL,5,5,2,0:17:04,37,4,1
2014020190,12,16,1,1,2,2,1,NULL,NULL,5,5,2,0:05:39,25,39,1
2014020190,12,16,1,1,2,2,1,NULL,NULL,5,5,2,0:05:58,25,58,1
2014020189,27,20,1,1,2,2,0,NULL,NULL,5,5,1,0:15:01,15,1,1
2014020189,27,20,1,1,2,2,2,NULL,NULL,5,4,2,0:17:05,37,5,1
2014020188,7,21,1,1,2,2,3,NULL,NULL,5,5,3,0:05:33,45,33,1
2014020188,7,21,1,1,2,2,3,NULL,NULL,5,5,3,0:18:33,58,33,1
2014020185,23,9,1,1,2,2,2,NULL,NULL,5,5,2,0:07:38,27,38,1
2014020185,23,9,1,1,2,2,1,NULL,NULL,5,5,3,0:18:12,58,12,1
2014020183,32,1,1,1,2,2,3,NULL,NULL,5,5,2,0:07:33,27,33,1
2014020180,5,17,1,1,2,2,2,NULL,NULL,5,5,2,0:05:37,25,37,1
2014020177,2,4,1,1,2,2,0,NULL,NULL,5,5,1,0:05:47,5,47,1
2014020177,2,4,1,1,2,2,-2,NULL,NULL,4,5,3,0:00:18,40,18,1
2014020175,3,16,1,1,2,2,0,NULL,NULL,5,5,2,0:06:03,26,3,1
2014020171,23,18,1,1,2,2,0,NULL,NULL,5,5,1,0:02:06,2,6,1
2014020167,3,32,1,1,2,2,1,NULL,NULL,5,5,2,0:16:23,36,23,1
2014020167,3,32,1,1,2,2,0,NULL,NULL,5,5,2,0:20:00,40,0,1
2014020166,2,16,1,1,2,2,-3,NULL,NULL,5,5,3,0:16:10,56,10,1
2014020166,2,16,1,1,2,2,-4,NULL,NULL,5,5,3,0:17:23,57,23,1
2014020160,29,32,1,1,2,2,2,NULL,NULL,5,5,2,0:07:29,27,29,1
2014020160,29,32,1,1,2,2,3,NULL,NULL,5,5,3,0:18:16,58,16,1
2014020157,14,30,1,1,2,2,1,NULL,NULL,5,5,3,0:13:55,53,55,1
2014020156,21,7,1,1,2,2,1,NULL,NULL,5,5,2,0:17:07,37,7,1
2014020150,22,10,1,1,2,2,0,NULL,NULL,5,5,2,0:01:53,21,53,1
2014020149,9,19,1,1,2,2,2,NULL,NULL,5,5,3,0:03:53,43,53,1
2014020146,11,28,1,1,2,2,4,NULL,NULL,5,5,3,0:13:23,53,23,1
