MatchID,HomeTeam,RoadTeam,HomeNumberPenalties,RoadNumberPenalties,HomeTeamPMinutes,RoadTeamPMinutes,GoalDifferential,HomePenaltySum,AwayPenaltySum,HomeTeamPlayers,RoadTeamPlayers,Period,Time_Of_Penalty,minutes,seconds,RegularSeason
2007020001,19,10,0,1,0,2,0,NULL,NULL,5,5,1,00:01:46,1,46,1
2007020001,19,10,1,0,2,0,0,NULL,NULL,5,4,1,00:02:35,2,35,1
2007020001,19,10,1,0,2,0,0,NULL,NULL,4,5,1,00:04:05,4,5,1
2007020001,19,10,0,1,0,2,0,NULL,NULL,5,5,1,00:07:28,7,28,1
2007020001,19,10,0,1,0,2,0,NULL,NULL,5,4,1,00:08:14,8,14,1
2007020001,19,10,0,1,0,2,1,NULL,NULL,5,4,1,00:09:48,9,48,1
2007020001,19,10,1,0,2,0,1,NULL,NULL,5,5,1,00:17:13,17,13,1
2007020001,19,10,1,0,2,0,1,NULL,NULL,5,5,2,00:03:25,23,25,1
2007020001,19,10,0,1,0,2,1,NULL,NULL,5,5,2,00:06:39,26,39,1
2007020001,19,10,0,1,0,2,1,NULL,NULL,5,5,2,00:09:20,29,20,1
2007020001,19,10,1,0,2,0,2,NULL,NULL,5,5,2,00:11:05,31,5,1
2007020001,19,10,0,1,0,2,2,NULL,NULL,5,5,3,00:00:18,40,18,1
2007020001,19,10,1,0,2,0,3,NULL,NULL,5,5,3,00:06:35,46,35,1
2007020001,19,10,1,0,2,0,3,NULL,NULL,5,5,3,00:12:16,52,16,1
2007020001,19,10,1,0,2,0,2,NULL,NULL,5,5,3,00:19:06,59,6,1
2007020001,19,10,0,1,0,2,3,NULL,NULL,4,5,3,00:19:44,59,44,1
2007020002,10,19,1,0,2,0,0,NULL,NULL,5,5,1,00:06:45,6,45,1
2007020002,10,19,0,1,0,2,0,NULL,NULL,4,5,1,00:07:01,7,1,1
2007020002,10,19,0,1,0,2,0,NULL,NULL,4,4,1,00:08:39,8,39,1
2007020002,10,19,0,1,0,2,0,NULL,NULL,5,4,1,00:10:17,10,17,1
2007020002,10,19,1,0,2,0,1,NULL,NULL,5,5,1,00:12:23,12,23,1
2007020002,10,19,0,1,0,2,1,NULL,NULL,5,5,1,00:14:56,14,56,1
2007020002,10,19,1,0,2,0,3,NULL,NULL,5,5,2,00:17:04,37,4,1
2007020002,10,19,1,0,2,0,3,NULL,NULL,5,5,3,00:18:41,58,41,1
2007020003,29,2,0,1,0,2,0,NULL,NULL,5,5,1,00:01:51,1,51,1
2007020003,29,2,0,1,0,2,1,NULL,NULL,5,5,1,00:09:13,9,13,1
2007020003,29,2,1,0,2,0,1,NULL,NULL,5,5,1,00:12:02,12,2,1
2007020003,29,2,0,1,0,2,0,NULL,NULL,5,5,1,00:15:12,15,12,1
2007020003,29,2,0,1,0,2,0,NULL,NULL,5,4,1,00:16:07,16,7,1
2007020003,29,2,1,0,2,0,0,NULL,NULL,5,4,1,00:17:16,17,16,1
2007020003,29,2,0,1,0,2,0,NULL,NULL,4,4,1,00:17:55,17,55,1
2007020003,29,2,0,1,0,2,0,NULL,NULL,5,5,2,00:03:27,23,27,1
2007020003,29,2,0,1,0,2,0,NULL,NULL,5,4,2,00:04:21,24,21,1
2007020003,29,2,1,0,2,0,0,NULL,NULL,5,5,2,00:19:50,39,50,1
2007020003,29,2,1,0,2,0,0,NULL,NULL,5,5,3,00:06:01,46,1,1
2007020003,29,2,1,0,2,0,0,NULL,NULL,5,5,3,00:09:13,49,13,1
2007020003,29,2,1,0,2,0,0,NULL,NULL,5,5,4,00:00:46,60,46,1
2007020004,9,10,0,1,0,2,0,NULL,NULL,5,5,1,00:09:28,9,28,1
2007020004,9,10,1,0,2,0,1,NULL,NULL,5,5,1,00:18:06,18,6,1
2007020004,9,10,0,1,0,2,1,NULL,NULL,5,5,2,00:03:34,23,34,1
2007020004,9,10,0,1,0,2,1,NULL,NULL,5,5,2,00:07:49,27,49,1
2007020004,9,10,1,0,2,0,1,NULL,NULL,5,5,2,00:10:16,30,16,1
2007020004,9,10,1,0,2,0,0,NULL,NULL,5,5,2,00:14:59,34,59,1
2007020004,9,10,0,1,0,2,0,NULL,NULL,4,5,2,00:15:29,35,29,1
2007020004,9,10,2,0,4,0,0,NULL,NULL,5,5,2,00:18:55,38,55,1
2007020004,9,10,0,1,0,2,-1,NULL,NULL,5,5,3,00:03:58,43,58,1
2007020004,9,10,0,1,0,2,0,NULL,NULL,5,5,3,00:12:44,52,44,1
2007020004,9,10,0,1,0,2,0,NULL,NULL,5,5,3,00:19:29,59,29,1
2007020005,1,27,1,0,2,0,0,NULL,NULL,5,5,1,00:00:08,0,8,1
2007020005,1,27,0,1,0,2,-1,NULL,NULL,5,5,1,00:07:36,7,36,1
2007020005,1,27,0,1,0,2,0,NULL,NULL,5,5,1,00:15:28,15,28,1
2007020005,1,27,0,1,0,2,0,NULL,NULL,5,5,2,00:03:50,23,50,1
2007020005,1,27,1,0,2,0,0,NULL,NULL,5,5,2,00:07:20,27,20,1
2007020005,1,27,1,0,2,0,0,NULL,NULL,4,5,2,00:08:15,28,15,1
2007020005,1,27,0,1,0,2,0,NULL,NULL,5,5,2,00:10:26,30,26,1
2007020005,1,27,0,1,0,2,0,NULL,NULL,5,5,2,00:13:06,33,6,1
2007020005,1,27,0,1,0,2,1,NULL,NULL,5,5,2,00:16:42,36,42,1
2007020005,1,27,1,0,2,0,1,NULL,NULL,5,5,3,00:07:48,47,48,1
2007020005,1,27,0,1,0,2,1,NULL,NULL,5,5,3,00:11:00,51,0,1
2007020006,11,22,0,1,0,2,0,NULL,NULL,5,5,1,00:05:32,5,32,1
2007020006,11,22,1,0,2,0,2,NULL,NULL,5,5,2,00:04:56,24,56,1
2007020006,11,22,1,0,2,0,3,NULL,NULL,5,5,3,00:06:09,46,9,1
2007020006,11,22,0,1,0,2,2,NULL,NULL,5,5,3,00:13:43,53,43,1
2007020006,11,22,1,0,2,0,2,NULL,NULL,5,5,3,00:16:25,56,25,1
2007020007,23,21,0,1,0,2,1,NULL,NULL,5,5,1,00:00:48,0,48,1
2007020007,23,21,0,1,0,2,1,NULL,NULL,5,5,1,00:17:45,17,45,1
2007020007,23,21,1,0,2,0,1,NULL,NULL,5,4,1,00:18:04,18,4,1
2007020007,23,21,1,0,2,0,0,NULL,NULL,5,5,2,00:04:34,24,34,1
2007020007,23,21,1,0,2,0,-1,NULL,NULL,5,5,2,00:12:03,32,3,1
2007020007,23,21,0,1,0,2,-1,NULL,NULL,5,5,3,00:01:45,41,45,1
2007020007,23,21,0,1,0,2,2,NULL,NULL,5,5,3,00:10:08,50,8,1
2007020008,27,1,0,1,0,2,0,NULL,NULL,5,5,1,00:03:03,3,3,1
2007020008,27,1,1,0,2,0,1,NULL,NULL,5,5,1,00:08:55,8,55,1
2007020008,27,1,0,1,0,2,1,NULL,NULL,4,5,1,00:09:03,9,3,1
2007020008,27,1,1,0,2,0,1,NULL,NULL,4,4,1,00:10:30,10,30,1
2007020008,27,1,1,0,2,0,1,NULL,NULL,5,5,1,00:13:37,13,37,1
2007020008,27,1,0,1,0,2,1,NULL,NULL,4,5,1,00:15:17,15,17,1
2007020008,27,1,0,1,0,2,1,NULL,NULL,5,4,1,00:17:07,17,7,1
2007020008,27,1,2,0,4,0,1,NULL,NULL,5,5,2,00:01:39,21,39,1
2007020008,27,1,0,1,0,2,1,NULL,NULL,5,5,2,00:07:34,27,34,1
2007020008,27,1,0,1,0,2,1,NULL,NULL,5,5,2,00:11:52,31,52,1
2007020008,27,1,1,0,2,0,0,NULL,NULL,5,5,2,00:18:32,38,32,1
2007020008,27,1,0,1,0,2,0,NULL,NULL,5,5,3,00:04:48,44,48,1
2007020008,27,1,1,0,2,0,0,NULL,NULL,5,5,3,00:11:12,51,12,1
2007020008,27,1,0,1,0,2,0,NULL,NULL,4,5,3,00:11:21,51,21,1
2007020008,27,1,0,1,0,2,0,NULL,NULL,4,4,3,00:12:38,52,38,1
2007020008,27,1,0,1,0,2,0,NULL,NULL,5,5,3,00:14:45,54,45,1
2007020009,12,14,0,1,0,2,0,NULL,NULL,5,5,1,00:01:35,1,35,1
2007020009,12,14,1,0,2,0,0,NULL,NULL,5,5,1,00:05:55,5,55,1
2007020009,12,14,1,0,2,0,0,NULL,NULL,5,5,1,00:08:19,8,19,1
2007020009,12,14,1,0,2,0,-1,NULL,NULL,5,5,1,00:19:11,19,11,1
2007020009,12,14,1,0,2,0,0,NULL,NULL,5,5,2,00:13:08,33,8,1
2007020009,12,14,0,1,0,2,0,NULL,NULL,5,5,2,00:18:24,38,24,1
2007020009,12,14,1,0,2,0,0,NULL,NULL,5,5,3,00:04:50,44,50,1
2007020009,12,14,0,2,0,4,2,NULL,NULL,4,5,3,00:19:33,59,33,1
2007020010,17,11,0,1,0,2,0,NULL,NULL,5,5,1,00:03:17,3,17,1
2007020010,17,11,1,0,2,0,1,NULL,NULL,5,5,1,00:08:52,8,52,1
2007020010,17,11,1,0,2,0,2,NULL,NULL,5,5,1,00:17:02,17,2,1
2007020010,17,11,1,0,2,0,3,NULL,NULL,5,5,2,00:08:59,28,59,1
2007020010,17,11,0,1,0,2,3,NULL,NULL,4,5,2,00:09:44,29,44,1
2007020010,17,11,0,1,0,2,3,NULL,NULL,5,5,2,00:14:13,34,13,1
2007020010,17,11,0,1,0,2,4,NULL,NULL,5,5,3,00:09:44,49,44,1
2007020010,17,11,0,1,0,2,4,NULL,NULL,5,5,3,00:18:34,58,34,1
2007020011,20,4,0,1,0,2,0,NULL,NULL,5,5,1,00:02:11,2,11,1
2007020011,20,4,1,2,2,4,0,NULL,NULL,5,5,1,00:16:49,16,49,1
2007020011,20,4,1,0,2,0,0,NULL,NULL,5,5,1,00:19:00,19,0,1
2007020011,20,4,0,1,0,2,1,NULL,NULL,5,5,2,00:08:51,28,51,1
2007020011,20,4,1,0,2,0,1,NULL,NULL,5,4,2,00:09:55,29,55,1
2007020011,20,4,1,0,2,0,1,NULL,NULL,4,5,2,00:11:18,31,18,1
2007020011,20,4,0,1,0,2,1,NULL,NULL,5,5,2,00:14:31,34,31,1
2007020011,20,4,1,0,2,0,1,NULL,NULL,5,5,3,00:02:07,42,7,1
2007020012,16,7,1,0,2,0,-1,NULL,NULL,5,5,1,00:06:59,6,59,1
2007020012,16,7,1,0,2,0,-1,NULL,NULL,4,5,1,00:07:50,7,50,1
2007020012,16,7,1,0,2,0,-2,NULL,NULL,5,5,1,00:14:16,14,16,1
2007020012,16,7,1,0,2,0,-2,NULL,NULL,5,5,2,00:03:06,23,6,1
2007020012,16,7,0,1,0,2,-2,NULL,NULL,4,5,2,00:04:34,24,34,1
2007020012,16,7,1,0,2,0,-1,NULL,NULL,5,5,2,00:09:49,29,49,1
2007020012,16,7,0,1,0,2,-1,NULL,NULL,5,5,2,00:11:56,31,56,1
2007020012,16,7,1,0,2,0,-1,NULL,NULL,5,4,2,00:13:16,33,16,1
2007020012,16,7,0,1,0,2,-1,NULL,NULL,5,5,2,00:17:59,37,59,1
2007020012,16,7,0,1,0,2,-1,NULL,NULL,5,5,3,00:06:26,46,26,1
2007020012,16,7,0,1,0,2,-1,NULL,NULL,5,5,3,00:12:17,52,17,1
2007020012,16,7,1,0,2,0,-1,NULL,NULL,5,5,3,00:19:15,59,15,1
2007020013,6,26,1,0,2,0,0,NULL,NULL,5,5,1,00:03:47,3,47,1
2007020013,6,26,0,1,0,2,0,NULL,NULL,5,5,1,00:06:32,6,32,1
2007020013,6,26,1,0,2,0,0,NULL,NULL,5,5,1,00:14:20,14,20,1
2007020013,6,26,0,1,0,2,0,NULL,NULL,5,5,1,00:16:48,16,48,1
2007020013,6,26,1,0,2,0,0,NULL,NULL,5,5,1,00:19:47,19,47,1
2007020013,6,26,0,1,0,2,0,NULL,NULL,5,5,2,00:02:40,22,40,1
2007020013,6,26,0,1,0,2,0,NULL,NULL,5,5,2,00:06:09,26,9,1
2007020013,6,26,0,1,0,2,0,NULL,NULL,5,4,2,00:11:38,31,38,1
