FaceoffId,GameId,AwayTeamId,HomeTeamId,EventNumber,PeriodNumber,EventTime,FaceoffWinningTeam,FaceoffWinningTeamId,Zone,AwayPlayerNumber,AwayPlayerId,HomePlayerNumber,HomePlayerId,WinningTeamDisposition
1,2013020001,1,2,2,1,00:00:00,TOR,1,neutral,42,8475098,14,8469521,EV
2,2013020001,1,2,8,1,00:01:46,TOR,1,offensive,11,8469508,8,8471283,EV
3,2013020001,1,2,15,1,00:02:12,MTL,2,neutral,42,8475098,14,8469521,EV
4,2013020001,1,2,18,1,00:02:25,MTL,2,offensive,42,8475098,14,8469521,EV
5,2013020001,1,2,21,1,00:02:29,TOR,1,defensive,42,8475098,21,8467407,EV
6,2013020001,1,2,25,1,00:02:58,TOR,1,offensive,43,8475172,51,8471976,EV
7,2013020001,1,2,28,1,00:03:03,MTL,2,defensive,41,8473579,51,8471976,EV
8,2013020001,1,2,32,1,00:03:16,MTL,2,defensive,63,8471245,81,8474189,EV
9,2013020001,1,2,35,1,00:03:29,TOR,1,offensive,63,8471245,81,8474189,EV
10,2013020001,1,2,46,1,00:04:45,TOR,1,defensive,42,8475098,14,8469521,EV
