MatchID,TotalSeconds,HomeTeam,RoadTeam,HomeNumberPenalties,RoadNumberPenalties,HomeTeamPMinutes,RoadTeamPMinutes,HomePenaltySum,RoadPenaltySum,HomeGoals-RoadGoals,RoadGoals-HomeGoals,KurtHomePlayers-KurtRoadPlayers,RoadPlayers,HomePlayers,OliverHomePlayers-OliverRoadPlayers,Period,TimeOfPenalty,minutes,seconds,isRegular
2007020001,2102,19,10,1,1,2,2,5,6,2,-2,0,11,12,1,2,00:15:02,35,2,1
2007020002,1813,10,19,1,1,5,5,2,4,3,-3,0,12,11,-1,2,00:10:13,30,13,1
2007020002,2645,10,19,1,1,2,2,4,5,3,-3,0,11,12,1,3,00:04:05,44,5,1
2007020003,2761,29,2,1,0,2,0,4,7,0,0,1,6,7,1,3,00:06:01,46,1,1
2007020003,3479,29,2,1,1,2,2,6,7,0,0,0,11,12,1,3,00:17:59,57,59,1
2007020004,863,9,10,1,1,2,2,0,1,1,-1,0,11,12,1,1,00:14:23,14,23,1
2007020004,1414,9,10,1,2,5,7,2,2,1,-1,0,16,18,2,2,00:03:34,23,34,1
2007020004,2335,9,10,2,0,4,0,5,6,0,0,0,12,12,0,2,00:18:55,38,55,1
2007020004,3834,9,10,1,1,2,2,7,9,0,0,0,10,9,-1,4,00:03:54,63,54,1
2007020005,928,1,27,1,2,5,7,1,1,0,0,0,16,17,1,1,00:15:28,15,28,1
2007020005,2202,1,27,1,2,5,7,4,6,1,-1,0,16,18,2,2,00:16:42,36,42,1
2007020007,2213,23,21,2,2,4,4,3,2,-1,1,0,22,23,1,2,00:16:53,36,53,1
2007020008,1299,27,1,2,0,4,0,3,4,1,-1,0,12,11,-1,2,00:01:39,21,39,1
2007020008,1860,27,1,2,2,4,4,5,5,1,-1,0,21,21,0,2,00:11:00,31,0,1
2007020008,2147,27,1,1,1,2,2,7,8,1,-1,0,11,12,1,2,00:15:47,35,47,1
2007020009,3573,12,14,1,3,5,9,5,2,2,-2,0,22,21,-1,3,00:19:33,59,33,1
2007020010,1568,17,11,1,1,5,5,2,1,3,-3,0,12,11,-1,2,00:06:08,26,8,1
2007020011,1009,20,4,1,2,2,4,0,1,0,0,0,18,17,-1,1,00:16:49,16,49,1
2007020011,1386,20,4,1,1,5,5,2,3,0,0,0,12,11,-1,2,00:03:06,23,6,1
2007020011,3419,20,4,1,1,2,2,6,6,1,-1,0,12,11,-1,3,00:16:59,56,59,1
2007020012,824,16,7,1,1,5,5,2,0,-2,2,0,11,12,1,1,00:13:44,13,44,1
2007020012,1996,16,7,1,0,2,0,6,3,-1,1,2,5,7,2,2,00:13:16,33,16,1
2007020013,1569,6,26,0,1,0,2,3,3,0,0,2,6,8,2,2,00:06:09,26,9,1
2007020013,1712,6,26,2,3,7,17,3,4,0,0,0,30,29,-1,2,00:08:32,28,32,1
2007020013,2799,6,26,1,1,2,2,6,8,1,-1,0,12,11,-1,3,00:06:39,46,39,1
2007020014,2481,24,18,1,1,5,5,1,3,1,-1,0,12,11,-1,3,00:01:21,41,21,1
2007020014,3147,24,18,2,2,7,7,4,6,2,-2,-2,24,16,-8,3,00:12:27,52,27,1
2007020016,2180,30,10,2,0,15,0,3,5,2,-2,0,12,10,-2,2,00:16:20,36,20,1
2007020016,2400,30,10,1,2,2,4,5,5,2,-2,0,16,16,0,2,00:20:00,40,0,1
2007020016,3311,30,10,1,1,2,2,8,11,4,-4,1,9,11,2,3,00:15:11,55,11,1
2007020018,1570,31,3,1,1,2,2,3,2,-2,2,-1,11,10,-1,2,00:06:10,26,10,1
2007020019,939,22,13,1,1,4,2,0,0,1,-1,0,12,11,-1,1,00:15:39,15,39,1
2007020019,1364,22,13,1,1,5,5,1,3,2,-2,0,11,12,1,2,00:02:44,22,44,1
