ManPower,GoalDifferential,HomeShots,AwayShots,HomeShotPercent,OnTarget
EV,-8,17,9,0.6538,1
EV,-7,80,61,0.5674,1
EV,-6,253,161,0.6111,1
EV,-5,849,528,0.6166,1
EV,-4,2417,1744,0.5809,1
EV,-3,6991,4978,0.5841,1
EV,-2,17573,13163,0.5717,1
EV,-1,40473,32444,0.5551,1
EV,0,89371,83386,0.5173,1
EV,1,40726,44740,0.4765,1
EV,2,18187,21477,0.4585,1
EV,3,7863,9379,0.4560,1
EV,4,3028,3666,0.4523,1
EV,5,993,1235,0.4457,1
EV,6,298,383,0.4376,1
EV,7,76,131,0.3671,1
EV,8,19,22,0.4634,1
EV,9,5,5,0.5000,1
N/A,0,0,1,0.0000,1
PP,-8,14,1,0.9333,1
PP,-7,18,21,0.4615,1
PP,-6,61,55,0.5259,1
PP,-5,212,152,0.5824,1
PP,-4,721,451,0.6152,1
PP,-3,1788,1268,0.5851,1
PP,-2,4309,2736,0.6116,1
PP,-1,9408,6449,0.5933,1
PP,0,17854,15400,0.5369,1
PP,1,9033,9593,0.4850,1
PP,2,4350,4755,0.4778,1
PP,3,2021,2254,0.4727,1
PP,4,867,929,0.4827,1
PP,5,293,329,0.4711,1
PP,6,104,108,0.4906,1
PP,7,22,27,0.4490,1
PP,8,15,5,0.7500,1
SH,-7,3,3,0.5000,1
SH,-6,9,11,0.4500,1
SH,-5,44,30,0.5946,1
SH,-4,121,75,0.6173,1
SH,-3,297,219,0.5756,1
SH,-2,632,572,0.5249,1
SH,-1,1371,1265,0.5201,1
SH,0,2618,2721,0.4904,1
SH,1,1496,1629,0.4787,1
SH,2,820,856,0.4893,1
SH,3,360,401,0.4731,1
SH,4,144,172,0.4557,1
SH,5,49,57,0.4623,1
SH,6,14,22,0.3889,1
SH,7,4,2,0.6667,1
SH,8,1,1,0.5000,1
SH,9,0,1,0.0000,1
