ManPower,PenaltyDifferential,HomeShots,AwayShots,HomeShotPercent
EV,-9,13,9,0.5909
EV,-8,24,13,0.6486
EV,-7,35,22,0.6140
EV,-6,189,136,0.5815
EV,-5,691,693,0.4993
EV,-4,2959,2634,0.5291
EV,-3,9893,9226,0.5174
EV,-2,28598,27274,0.5118
EV,-1,68165,64719,0.5130
EV,0,170165,160803,0.5141
EV,1,76112,73030,0.5103
EV,2,39482,37323,0.5141
EV,3,14796,14400,0.5068
EV,4,4912,4889,0.5012
EV,5,1693,1630,0.5095
EV,6,430,395,0.5212
EV,7,103,134,0.4346
EV,8,25,40,0.3846
EV,9,31,27,0.5345
EV,10,6,8,0.4286
N/A,0,0,1,0.0000
PP,-10,0,3,0.0000
PP,-9,0,6,0.0000
PP,-8,8,25,0.2424
PP,-7,9,29,0.2368
PP,-6,9,143,0.0592
PP,-5,75,532,0.1236
PP,-4,248,1728,0.1255
PP,-3,908,4980,0.1542
PP,-2,3099,12203,0.2025
PP,-1,7871,24865,0.2404
PP,0,24125,22803,0.5141
PP,1,28965,9175,0.7594
PP,2,16534,4071,0.8024
PP,3,7832,1563,0.8336
PP,4,3177,538,0.8552
PP,5,1129,158,0.8772
PP,6,372,52,0.8774
PP,7,123,10,0.9248
PP,8,49,1,0.9800
PP,9,25,6,0.8065
PP,10,12,0,1.0000
SH,-9,2,0,1.0000
SH,-7,11,0,1.0000
SH,-6,27,0,1.0000
SH,-5,79,6,0.9294
SH,-4,285,24,0.9223
SH,-3,770,137,0.8490
SH,-2,1654,397,0.8064
SH,-1,3490,1048,0.7691
SH,0,3369,3076,0.5227
SH,1,1413,3604,0.2816
SH,2,657,2070,0.2409
SH,3,207,1050,0.1647
SH,4,77,388,0.1656
SH,5,16,126,0.1127
SH,6,4,44,0.0833
SH,7,1,17,0.0556
SH,8,0,4,0.0000
SH,9,0,3,0.0000
SH,10,0,2,0.0000
