ManPower,PenaltyDifferential,HomeShots,AwayShots,HomeShotPercent,OnTarget
EV,-9,10,2,0.8333,1
EV,-8,9,4,0.6923,1
EV,-7,25,12,0.6757,1
EV,-6,107,78,0.5784,1
EV,-5,383,369,0.5093,1
EV,-4,1631,1431,0.5327,1
EV,-3,5369,5023,0.5166,1
EV,-2,15537,14828,0.5117,1
EV,-1,36763,35117,0.5114,1
EV,0,206214,194568,0.5145,1
EV,1,41219,39463,0.5109,1
EV,2,21568,20108,0.5175,1
EV,3,8038,7760,0.5088,1
EV,4,2620,2637,0.4984,1
EV,5,929,849,0.5225,1
EV,6,249,216,0.5355,1
EV,7,47,68,0.4087,1
EV,8,13,22,0.3714,1
EV,9,18,12,0.6000,1
EV,10,4,3,0.5714,1
N/A,0,0,1,0.0000,1
PP,-10,0,2,0.0000,1
PP,-9,0,3,0.0000,1
PP,-8,2,18,0.1000,1
PP,-7,4,18,0.1818,1
PP,-6,5,72,0.0649,1
PP,-5,41,284,0.1262,1
PP,-4,126,928,0.1195,1
PP,-3,500,2683,0.1571,1
PP,-2,1659,6556,0.2019,1
PP,-1,4142,13255,0.2381,1
PP,0,46050,41170,0.5280,1
PP,1,15522,4865,0.7614,1
PP,2,8962,2171,0.8050,1
PP,3,4216,840,0.8339,1
PP,4,1745,309,0.8496,1
PP,5,613,88,0.8745,1
PP,6,224,20,0.9180,1
PP,7,72,3,0.9600,1
PP,8,28,0,1.0000,1
PP,9,16,3,0.8421,1
PP,10,8,0,1.0000,1
SH,-9,1,0,1.0000,1
SH,-7,8,0,1.0000,1
SH,-6,22,0,1.0000,1
SH,-5,51,3,0.9444,1
SH,-4,190,13,0.9360,1
SH,-3,484,87,0.8476,1
SH,-2,1098,257,0.8103,1
SH,-1,2272,703,0.7637,1
SH,0,8019,7788,0.5073,1
SH,1,917,2334,0.2821,1
SH,2,412,1391,0.2285,1
SH,3,123,665,0.1561,1
SH,4,44,251,0.1492,1
SH,5,11,92,0.1068,1
SH,6,3,19,0.1364,1
SH,7,1,11,0.0833,1
SH,8,0,1,0.0000,1
SH,9,0,2,0.0000,1
SH,10,0,2,0.0000,1
